rate,capacity,profile,mean_us,p95_us,p99_us,worst_us,active_mean,active_peak,events_per_second,steals,drops,output_sum
44100,64,physical-reference,4.4219,5.5,6.7,51.7,1.04533,6,694.345,0,0,51.2643
44100,64,dense-stress,42.4747,53.3,103.1,321.1,63.999,64,6539.2,56886,0,175458
44100,128,physical-reference,5.09177,5.8,7,244.3,1.04533,6,694.345,0,0,51.2643
44100,128,dense-stress,69.9557,92,182.1,524.6,127.999,128,6539.2,56886,0,175340
44100,256,physical-reference,4.96443,5.9,7.5,111.7,1.04533,6,694.345,0,0,51.2643
44100,256,dense-stress,152.694,204.1,336.8,678.2,255.999,256,6539.2,56886,0,174569
44100,512,physical-reference,4.9345,5.8,7.4,84.8,1.04533,6,694.345,0,0,51.2643
44100,512,dense-stress,305.784,426.4,577.3,869.9,511.999,512,6539.2,56886,0,173929
44100,1024,physical-reference,5.2229,5.9,20,158.6,1.04533,6,694.345,0,0,51.2643
44100,1024,dense-stress,640.089,896.9,1180.5,2176.5,1024,1024,6539.2,56886,0,174386
48000,64,physical-reference,4.82473,5.7,8.2,169.6,1.05067,6,697.75,0,0,52.9353
48000,64,dense-stress,40.6776,53.7,107,290.3,63.9983,64,6580.88,52590,0,174597
48000,128,physical-reference,4.90997,5.9,8.2,163.7,1.05067,6,697.75,0,0,52.9353
48000,128,dense-stress,67.9189,80.8,157.7,303.9,127.998,128,6580.88,52590,0,175703
48000,256,physical-reference,4.6609,5.3,7.4,107.1,1.05067,6,697.75,0,0,52.9353
48000,256,dense-stress,148.359,211.6,340.1,580.4,255.998,256,6580.88,52590,0,175217
48000,512,physical-reference,5.46863,6.2,10.5,179.4,1.05067,6,697.75,0,0,52.9353
48000,512,dense-stress,308.091,420.6,621.9,1102.4,511.998,512,6580.88,52590,0,175499
48000,1024,physical-reference,5.5578,6.4,9.2,189.4,1.05067,6,697.75,0,0,52.9353
48000,1024,dense-stress,681.057,1112.3,1574.3,7223.4,1024,1024,6580.88,52590,0,174688
96000,64,physical-reference,5.58653,8.9,16.4,231.1,1.138,7,707,0,0,63.5894
96000,64,dense-stress,38.0462,73.7,146.4,317.2,63.998,64,6800.25,27175,0,179253
96000,128,physical-reference,5.7963,8.6,16.7,249.1,1.138,7,707,0,0,63.5894
96000,128,dense-stress,73.1464,144.3,284.3,505.3,127.998,128,6800.25,27175,0,180609
96000,256,physical-reference,7.64983,12.5,28,174,1.138,7,707,0,0,63.5894
96000,256,dense-stress,159.41,284.7,436,699.2,255.998,256,6800.25,27175,0,179749
96000,512,physical-reference,5.65747,9.1,24.1,207.5,1.138,7,707,0,0,63.5894
96000,512,dense-stress,377.589,700.1,1049.8,2485.5,511.998,512,6800.25,27175,0,179804
96000,1024,physical-reference,7.42593,10.6,17.2,267.4,1.138,7,707,0,0,63.5894
96000,1024,dense-stress,728.076,1276.8,1658.4,3021.7,1024,1024,6800.25,27175,0,179657
