rate,capacity,profile,mean_us,p95_us,p99_us,worst_us,active_mean,active_peak,events_per_second,steals,drops,output_sum
44100,64,physical-reference,4.95977,5.6,6.6,152.1,1.04533,6,694.345,0,0,51.2643
44100,64,dense-stress,40.4138,48.3,92.2,264.9,63.999,64,6539.2,56886,0,175458
44100,128,physical-reference,5.4585,7.5,8.3,88.6,1.04533,6,694.345,0,0,51.2643
44100,128,dense-stress,69.0723,91.2,153.3,514.6,127.999,128,6539.2,56886,0,175340
44100,256,physical-reference,5.18403,6,8.1,98.7,1.04533,6,694.345,0,0,51.2643
44100,256,dense-stress,142.065,190.9,294.6,442.2,255.999,256,6539.2,56886,0,174569
44100,512,physical-reference,5.17567,6.2,9.6,117.8,1.04533,6,694.345,0,0,51.2643
44100,512,dense-stress,292.993,388.9,508,871,511.999,512,6539.2,56886,0,173929
44100,1024,physical-reference,4.7002,5.4,5.9,95,1.04533,6,694.345,0,0,51.2643
44100,1024,dense-stress,613.244,811,1002.9,1645.9,1024,1024,6539.2,56886,0,174386
48000,64,physical-reference,4.5233,5.5,8.1,72.5,1.05067,6,697.75,0,0,52.9353
48000,64,dense-stress,37.0709,45.3,85.3,186.5,63.9983,64,6580.88,52590,0,174597
48000,128,physical-reference,4.76843,5.5,6.2,116.4,1.05067,6,697.75,0,0,52.9353
48000,128,dense-stress,65.1913,80.2,155.4,393.9,127.998,128,6580.88,52590,0,175703
48000,256,physical-reference,4.83913,5.5,8.4,290.5,1.05067,6,697.75,0,0,52.9353
48000,256,dense-stress,144.442,190.3,273.1,668.8,255.998,256,6580.88,52590,0,175217
48000,512,physical-reference,4.7148,5.4,6.2,82.8,1.05067,6,697.75,0,0,52.9353
48000,512,dense-stress,295.915,383.5,525.1,947,511.998,512,6580.88,52590,0,175499
48000,1024,physical-reference,5.00307,5.6,7,68,1.05067,6,697.75,0,0,52.9353
48000,1024,dense-stress,611.535,828.9,1008.9,1611.9,1024,1024,6580.88,52590,0,174688
96000,64,physical-reference,4.61447,5.1,6,81.6,1.138,7,707,0,0,63.5894
96000,64,dense-stress,35.2071,41,77.7,218.4,63.998,64,6800.25,27175,0,179253
96000,128,physical-reference,4.62447,5.6,7.5,118.1,1.138,7,707,0,0,63.5894
96000,128,dense-stress,59.9435,70.8,134.1,289,127.998,128,6800.25,27175,0,180609
96000,256,physical-reference,4.2277,4.9,5.6,86.4,1.138,7,707,0,0,63.5894
96000,256,dense-stress,131.859,182.6,283.1,497.4,255.998,256,6800.25,27175,0,179749
96000,512,physical-reference,4.9656,5.4,9.3,134.4,1.138,7,707,0,0,63.5894
96000,512,dense-stress,278.078,367.7,504.5,969.1,511.998,512,6800.25,27175,0,179804
96000,1024,physical-reference,4.30267,5,6,72,1.138,7,707,0,0,63.5894
96000,1024,dense-stress,583.851,809.9,1063.1,1660.1,1024,1024,6800.25,27175,0,179657
