rate,capacity,profile,radius_mm,persistence,mean_us,p95_us,p99_us,worst_us,active_mean,active_peak,event_start_mean_us,event_start_p95_us,eligible,started,steals,drops,output_sum
44100,16,normal-onsets,0.2,0.25,9.3978,13.3,27,85.5,0.003,1,0.0683,0.1,13,13,0,0,-0.587317
44100,16,stress-onsets,0.2,0.25,10.539,11.3,12.6,80.5,0.012,1,0.0535,0.1,54,53,0,0,-0.587494
44100,16,normal-onsets,0.2,4,7.8323,8.3,8.4,19.9,0.044,1,0.0538,0.1,13,13,0,0,-0.0367526
44100,16,stress-onsets,0.2,4,8.878,12.5,15.9,22.2,0.19,1,0.0557,0.1,54,53,0,0,-0.0368638
44100,16,normal-onsets,7,0.25,10.753,12.9,31.9,72,0.303,1,0.0434,0.1,13,13,0,0,-41.8168
44100,16,stress-onsets,7,0.25,9.76,10.7,22.5,87,1.242,2,0.0406,0.1,54,53,0,0,-43.3728
44100,16,normal-onsets,7,4,9.5213,11.3,12.4,23.9,4.342,5,0.0402,0.1,13,13,0,0,-2.47926
44100,16,stress-onsets,7,4,18.0695,21.6,29.6,121.4,14.733,16,0.0423,0.1,54,53,37,0,-6.43626
44100,32,normal-onsets,0.2,0.25,12.1187,17.6,47.3,192.4,0.003,1,0.0602,0.1,13,13,0,0,-0.587317
44100,32,stress-onsets,0.2,0.25,10.0279,10.5,11.2,58.2,0.012,1,0.0483,0.1,54,53,0,0,-0.587494
44100,32,normal-onsets,0.2,4,10.6396,11.4,29.3,82.7,0.044,1,0.0501,0.1,13,13,0,0,-0.0367526
44100,32,stress-onsets,0.2,4,11.3313,13.8,19.4,109.6,0.19,1,0.058,0.1,54,53,0,0,-0.0368638
44100,32,normal-onsets,7,0.25,11.2662,11.7,22.7,125.8,0.303,1,0.0446,0.1,13,13,0,0,-41.8168
44100,32,stress-onsets,7,0.25,12.0067,12.4,21.9,82.4,1.242,2,0.0447,0.1,54,53,0,0,-43.3728
44100,32,normal-onsets,7,4,13.0975,13.2,26.9,188.2,4.342,5,0.0398,0.1,13,13,0,0,-2.47926
44100,32,stress-onsets,7,4,25.6015,35.9,66.6,197.6,17.58,20,0.0532,0.1,54,53,0,0,0.783687
44100,64,normal-onsets,0.2,0.25,19.0293,18.9,44.8,100.4,0.003,1,0.0631,0.1,13,13,0,0,-0.587317
44100,64,stress-onsets,0.2,0.25,17.6045,18,52.1,147.9,0.012,1,0.0529,0.1,54,53,0,0,-0.587494
44100,64,normal-onsets,0.2,4,17.0428,29.3,37.6,89.3,0.044,1,0.0499,0.1,13,13,0,0,-0.0367526
44100,64,stress-onsets,0.2,4,17.593,27.6,43.6,87.5,0.19,1,0.0558,0.1,54,53,0,0,-0.0368638
44100,64,normal-onsets,7,0.25,16.1053,17,33.8,92.2,0.303,1,0.0425,0.1,13,13,0,0,-41.8168
44100,64,stress-onsets,7,0.25,17.7858,20.8,34.3,126,1.242,2,0.0457,0.1,54,53,0,0,-43.3728
44100,64,normal-onsets,7,4,21.256,26.2,61,125,4.342,5,0.0421,0.1,13,13,0,0,-2.47926
44100,64,stress-onsets,7,4,33.0067,37.6,53.7,135.2,17.58,20,0.065,0.1,54,53,0,0,0.783687
44100,128,normal-onsets,0.2,0.25,38.6379,59.7,92.9,268.4,0.003,1,0.0584,0.1,13,13,0,0,-0.587317
44100,128,stress-onsets,0.2,0.25,34.9781,40.5,64.1,160.1,0.012,1,0.0535,0.1,54,53,0,0,-0.587494
44100,128,normal-onsets,0.2,4,36.476,50.9,78.6,146.1,0.044,1,0.0766,0.1,13,13,0,0,-0.0367526
44100,128,stress-onsets,0.2,4,35.6095,53.3,79.4,120.2,0.19,1,0.0738,0.1,54,53,0,0,-0.0368638
44100,128,normal-onsets,7,0.25,31.4409,35.9,85.5,178.4,0.303,1,0.0399,0.1,13,13,0,0,-41.8168
44100,128,stress-onsets,7,0.25,38.4146,50.6,86.8,270.4,1.242,2,0.0459,0.1,54,53,0,0,-43.3728
44100,128,normal-onsets,7,4,35.5042,37.3,83.1,286.9,4.342,5,0.04,0.1,13,13,0,0,-2.47926
44100,128,stress-onsets,7,4,50.2986,67.4,125.3,286.1,17.58,20,0.0427,0.1,54,53,0,0,0.783687
44100,256,normal-onsets,0.2,0.25,63.6766,69.5,127.2,284.8,0.003,1,0.0535,0.1,13,13,0,0,-0.587317
