policy,rate,reference_rate,frequency_hz,kernel_pair_error_rms,kernel_pair_error_peak,whole_chain_difference_rms,tier_a_pair_pass,scope
S1-butter4,44100,96000,1000,6.86892230814301e-06,9.35781522994786e-06,0.027426020387025615,True,common clock analytic transfer; whole-chain filter change not accepted
S1-butter4,48000,96000,1000,2.627422463873704e-05,4.104628827357408e-05,0.04589554257134445,True,common clock analytic transfer; whole-chain filter change not accepted
S1-butter4,44100,96000,2000,1.2975854824471504e-05,2.2233851344886507e-05,0.05513214050073572,True,common clock analytic transfer; whole-chain filter change not accepted
S1-butter4,48000,96000,2000,2.281462563646851e-05,3.459838932809118e-05,0.09216251218511468,True,common clock analytic transfer; whole-chain filter change not accepted
S1-butter4,44100,96000,4000,1.3261948846533171e-05,1.606989992242118e-05,0.1125548902661642,True,common clock analytic transfer; whole-chain filter change not accepted
S1-butter4,48000,96000,4000,3.0266702337747044e-05,4.770082016958901e-05,0.18748147142753038,True,common clock analytic transfer; whole-chain filter change not accepted
S1-butter4,44100,96000,8000,1.2236053065188295e-05,1.4991911190832394e-05,0.24598529799427343,True,common clock analytic transfer; whole-chain filter change not accepted
S1-butter4,48000,96000,8000,1.799950834442387e-05,2.029458257336446e-05,0.40283551733845857,True,common clock analytic transfer; whole-chain filter change not accepted
S1-butter4,44100,96000,12000,1.1963013993933825e-05,1.5653014958009295e-05,0.4399750106664616,True,common clock analytic transfer; whole-chain filter change not accepted
S1-butter4,48000,96000,12000,8.880428699474767e-06,1.450506786678888e-05,0.6927968029443731,True,common clock analytic transfer; whole-chain filter change not accepted
S1-butter4,44100,96000,16000,1.1501680157060409e-05,1.4086120577945164e-05,0.8232837115397623,True,common clock analytic transfer; whole-chain filter change not accepted
S1-butter4,48000,96000,16000,3.7905227547913424e-05,5.949085741738426e-05,1.1735701852447389,True,common clock analytic transfer; whole-chain filter change not accepted
S1-butter4,44100,96000,18000,3.7624607584098204e-05,6.271855097054895e-05,1.2467673125818455,,common clock analytic transfer; whole-chain filter change not accepted
S1-butter4,48000,96000,18000,9.249711848186561e-05,0.0001375553850751854,1.5692531321235388,,common clock analytic transfer; whole-chain filter change not accepted
S1-butter4,44100,96000,20000,1.0120633041389438e-05,1.3094865988331478e-05,1.7071320269859682,,common clock analytic transfer; whole-chain filter change not accepted
S1-butter4,48000,96000,20000,9.705774430779823e-05,0.00015616368752942078,1.7071832857602973,,common clock analytic transfer; whole-chain filter change not accepted
S1-butter6,44100,96000,1000,6.86892230814301e-06,9.35781522994786e-06,0.040550186442143886,True,common clock analytic transfer; whole-chain filter change not accepted
S1-butter6,48000,96000,1000,2.627422463873704e-05,4.104628827357408e-05,0.06785071076397682,True,common clock analytic transfer; whole-chain filter change not accepted
S1-butter6,44100,96000,2000,1.2975854824471504e-05,2.2233851344886507e-05,0.0815039878664679,True,common clock analytic transfer; whole-chain filter change not accepted
S1-butter6,48000,96000,2000,2.281462563646851e-05,3.459838932809118e-05,0.13621108443471147,True,common clock analytic transfer; whole-chain filter change not accepted
S1-butter6,44100,96000,4000,1.3261948846533171e-05,1.606989992242118e-05,0.16631193895029203,True,common clock analytic transfer; whole-chain filter change not accepted
S1-butter6,48000,96000,4000,3.0266702337747044e-05,4.770082016958901e-05,0.27669741840502443,True,common clock analytic transfer; whole-chain filter change not accepted
S1-butter6,44100,96000,8000,1.2236053065188295e-05,1.4991911190832394e-05,0.36256296386809067,True,common clock analytic transfer; whole-chain filter change not accepted
S1-butter6,48000,96000,8000,1.799950834442387e-05,2.029458257336446e-05,0.5905506426281923,True,common clock analytic transfer; whole-chain filter change not accepted
S1-butter6,44100,96000,12000,1.1963013993933825e-05,1.5653014958009295e-05,0.6439072888123563,True,common clock analytic transfer; whole-chain filter change not accepted
S1-butter6,48000,96000,12000,8.880428699474767e-06,1.450506786678888e-05,0.9977940467221793,True,common clock analytic transfer; whole-chain filter change not accepted
S1-butter6,44100,96000,16000,1.1501680157060409e-05,1.4086120577945164e-05,1.1718951764786354,True,common clock analytic transfer; whole-chain filter change not accepted
S1-butter6,48000,96000,16000,3.7905227547913424e-05,5.949085741738426e-05,1.594619562784247,True,common clock analytic transfer; whole-chain filter change not accepted
S1-butter6,44100,96000,18000,3.7624607584098204e-05,6.271855097054895e-05,1.6718803862254439,,common clock analytic transfer; whole-chain filter change not accepted
S1-butter6,48000,96000,18000,9.249711848186561e-05,0.0001375553850751854,1.940296484871752,,common clock analytic transfer; whole-chain filter change not accepted
S1-butter6,44100,96000,20000,1.0120633041389438e-05,1.3094865988331478e-05,1.2247638014712383,,common clock analytic transfer; whole-chain filter change not accepted
