rate,conditioner,kernel,stage,passed,worst_error,kernel_max_gain_db,ultrasonic_core_error,ultrasonic_reference_convergence,tier_c_probe_pass
44100,raw-control,lagrange-g0,frozen Tier A kernel rejection,False,,,,,False
44100,raw-control,lagrange-g8,frozen Tier A kernel rejection,False,,,,,False
44100,raw-control,hann-g8,frozen Tier A kernel rejection,False,,,,,False
44100,raw-control,kaiser-g8,frozen Tier A kernel rejection,False,,,,,False
44100,raw-control,lagrange-g16,frozen Tier A kernel rejection,False,,,,,False
44100,raw-control,hann-g16,frozen Tier A kernel rejection,False,,,,,False
44100,raw-control,kaiser-g16,actual and Tier C,False,0.09140128779473165,0.0018762540533029497,1.2496045119672797e-09,6.77900803787314e-06,True
44100,raw-control,lagrange-g32,frozen Tier A kernel rejection,False,,,,,False
44100,raw-control,hann-g32,actual and Tier C,False,0.058385330959220286,0.10959161993795494,5.244446083685421e-11,6.77900803787314e-06,False
44100,raw-control,kaiser-g32,actual and Tier C,False,0.06320693865008584,0.0017087617048709485,2.6033041594613245e-10,6.77900803787314e-06,True
44100,raw-control,lagrange-g64,actual and Tier C,False,0.09171055849133615,3.85730986621314e-14,3.127679785750267e-07,6.77900803787314e-06,True
44100,raw-control,hann-g64,actual and Tier C,False,0.04004999146318309,0.10963659579114715,1.0289547410983208e-11,6.77900803787314e-06,False
44100,raw-control,kaiser-g64,actual and Tier C,False,0.043470317301709714,0.0016079218646378405,1.272808021069768e-10,6.77900803787314e-06,True
44100,butter4-fc18000,lagrange-g0,frozen Tier A kernel rejection,False,,,,,False
44100,butter4-fc18000,lagrange-g8,frozen Tier A kernel rejection,False,,,,,False
44100,butter4-fc18000,hann-g8,frozen Tier A kernel rejection,False,,,,,False
44100,butter4-fc18000,kaiser-g8,frozen Tier A kernel rejection,False,,,,,False
44100,butter4-fc18000,lagrange-g16,frozen Tier A kernel rejection,False,,,,,False
44100,butter4-fc18000,hann-g16,frozen Tier A kernel rejection,False,,,,,False
44100,butter4-fc18000,kaiser-g16,actual and Tier C,True,0.0016392181788229372,0.0018762540533029497,1.179343746396082e-09,2.2394259442351548e-06,True
44100,butter4-fc20000,lagrange-g0,frozen Tier A kernel rejection,False,,,,,False
44100,butter4-fc20000,lagrange-g8,frozen Tier A kernel rejection,False,,,,,False
44100,butter4-fc20000,hann-g8,frozen Tier A kernel rejection,False,,,,,False
44100,butter4-fc20000,kaiser-g8,frozen Tier A kernel rejection,False,,,,,False
44100,butter4-fc20000,lagrange-g16,frozen Tier A kernel rejection,False,,,,,False
44100,butter4-fc20000,hann-g16,frozen Tier A kernel rejection,False,,,,,False
44100,butter4-fc20000,kaiser-g16,actual and Tier C,False,0.014551163702817217,0.0018762540533029497,9.395145029841136e-10,1.4959462274687565e-06,True
44100,butter4-fc20000,lagrange-g32,frozen Tier A kernel rejection,False,,,,,False
44100,butter4-fc20000,hann-g32,actual and Tier C,False,0.0006426430999665381,0.10959161993795494,3.426319216872083e-11,1.4959462274687565e-06,False
44100,butter4-fc20000,kaiser-g32,actual and Tier C,True,0.0004598524613216814,0.0017087617048709485,1.9705428619261308e-10,1.4959462274687565e-06,True
44100,butter6-fc18000,lagrange-g0,frozen Tier A kernel rejection,False,,,,,False
44100,butter6-fc18000,lagrange-g8,frozen Tier A kernel rejection,False,,,,,False
44100,butter6-fc18000,hann-g8,frozen Tier A kernel rejection,False,,,,,False
44100,butter6-fc18000,kaiser-g8,frozen Tier A kernel rejection,False,,,,,False
44100,butter6-fc18000,lagrange-g16,frozen Tier A kernel rejection,False,,,,,False
44100,butter6-fc18000,hann-g16,frozen Tier A kernel rejection,False,,,,,False
44100,butter6-fc18000,kaiser-g16,actual and Tier C,True,0.000494346062231019,0.0018762540533029497,1.1313112872682191e-09,3.3935921738492164e-07,True
44100,butter6-fc20000,lagrange-g0,frozen Tier A kernel rejection,False,,,,,False
44100,butter6-fc20000,lagrange-g8,frozen Tier A kernel rejection,False,,,,,False
44100,butter6-fc20000,hann-g8,frozen Tier A kernel rejection,False,,,,,False
44100,butter6-fc20000,kaiser-g8,frozen Tier A kernel rejection,False,,,,,False
44100,butter6-fc20000,lagrange-g16,frozen Tier A kernel rejection,False,,,,,False
44100,butter6-fc20000,hann-g16,frozen Tier A kernel rejection,False,,,,,False
44100,butter6-fc20000,kaiser-g16,actual and Tier C,False,0.013153281929657258,0.0018762540533029497,1.0809916628314487e-09,2.32123056894244e-06,True
44100,butter6-fc20000,lagrange-g32,frozen Tier A kernel rejection,False,,,,,False
44100,butter6-fc20000,hann-g32,actual and Tier C,False,0.0005922060385984261,0.10959161993795494,3.765478899287189e-11,2.32123056894244e-06,False
44100,butter6-fc20000,kaiser-g32,actual and Tier C,True,0.00013556470097112196,0.0017087617048709485,2.4851928659008066e-10,2.32123056894244e-06,True
44100,bessel4-fc18000,lagrange-g0,frozen Tier A kernel rejection,False,,,,,False
44100,bessel4-fc18000,lagrange-g8,frozen Tier A kernel rejection,False,,,,,False
44100,bessel4-fc18000,hann-g8,frozen Tier A kernel rejection,False,,,,,False
44100,bessel4-fc18000,kaiser-g8,frozen Tier A kernel rejection,False,,,,,False
44100,bessel4-fc18000,lagrange-g16,frozen Tier A kernel rejection,False,,,,,False
44100,bessel4-fc18000,hann-g16,frozen Tier A kernel rejection,False,,,,,False
44100,bessel4-fc18000,kaiser-g16,actual and Tier C,True,0.005771649238603054,0.0018762540533029497,1.0409596167237223e-09,9.245018327082882e-07,True
44100,bessel4-fc20000,lagrange-g0,frozen Tier A kernel rejection,False,,,,,False
44100,bessel4-fc20000,lagrange-g8,frozen Tier A kernel rejection,False,,,,,False
44100,bessel4-fc20000,hann-g8,frozen Tier A kernel rejection,False,,,,,False
44100,bessel4-fc20000,kaiser-g8,frozen Tier A kernel rejection,False,,,,,False
44100,bessel4-fc20000,lagrange-g16,frozen Tier A kernel rejection,False,,,,,False
44100,bessel4-fc20000,hann-g16,frozen Tier A kernel rejection,False,,,,,False
44100,bessel4-fc20000,kaiser-g16,actual and Tier C,False,0.019398665801991597,0.0018762540533029497,1.2553224417075757e-09,5.389934582892486e-06,True
44100,bessel4-fc20000,lagrange-g32,frozen Tier A kernel rejection,False,,,,,False
44100,bessel4-fc20000,hann-g32,actual and Tier C,False,0.001151134619487419,0.10959161993795494,4.93018756449028e-11,5.389934582892486e-06,False
44100,bessel4-fc20000,kaiser-g32,actual and Tier C,True,0.0017684816313828823,0.0017087617048709485,2.735364921466177e-10,5.389934582892486e-06,True
44100,fir33-fc18000,lagrange-g0,frozen Tier A kernel rejection,False,,,,,False
44100,fir33-fc18000,lagrange-g8,frozen Tier A kernel rejection,False,,,,,False
44100,fir33-fc18000,hann-g8,frozen Tier A kernel rejection,False,,,,,False
44100,fir33-fc18000,kaiser-g8,frozen Tier A kernel rejection,False,,,,,False
44100,fir33-fc18000,lagrange-g16,frozen Tier A kernel rejection,False,,,,,False
44100,fir33-fc18000,hann-g16,frozen Tier A kernel rejection,False,,,,,False
44100,fir33-fc18000,kaiser-g16,actual and Tier C,True,0.0006773328162399485,0.0018762540533029497,1.2533315086996179e-09,2.8697689195052607e-05,True
44100,fir33-fc20000,lagrange-g0,frozen Tier A kernel rejection,False,,,,,False
44100,fir33-fc20000,lagrange-g8,frozen Tier A kernel rejection,False,,,,,False
44100,fir33-fc20000,hann-g8,frozen Tier A kernel rejection,False,,,,,False
