rate,conditioner,profile,source,next128_tail_peak_ratio,finite_window_pass
44100,raw-control,reference,A1,0.0,True
44100,raw-control,reference,B1,0.0,True
44100,raw-control,reference,AB,0.0,True
44100,raw-control,edge,A1,0.0,True
44100,raw-control,edge,B1,0.0,True
44100,raw-control,edge,AB,0.0,True
44100,raw-control,overlap-reference,A1,0.0,True
44100,raw-control,overlap-reference,B1,0.0,True
44100,raw-control,overlap-reference,AB,0.0,True
44100,raw-control,sustained-edge,A1,0.0,True
44100,raw-control,sustained-edge,B1,0.0,True
44100,raw-control,sustained-edge,AB,0.0,True
44100,butter4-fc18000,reference,A1,5.14e-322,True
44100,butter4-fc18000,reference,B1,1.3113e-320,True
44100,butter4-fc18000,reference,AB,5.14e-322,True
44100,butter4-fc18000,edge,A1,3.16e-322,True
44100,butter4-fc18000,edge,B1,7.3022e-319,True
44100,butter4-fc18000,edge,AB,3.16e-322,True
44100,butter4-fc18000,overlap-reference,A1,2e-323,True
44100,butter4-fc18000,overlap-reference,B1,5.83e-321,True
44100,butter4-fc18000,overlap-reference,AB,2e-323,True
44100,butter4-fc18000,sustained-edge,A1,4.4e-323,True
44100,butter4-fc18000,sustained-edge,B1,3.2454e-319,True
44100,butter4-fc18000,sustained-edge,AB,4.4e-323,True
44100,butter4-fc20000,reference,A1,2.164e-321,True
44100,butter4-fc20000,reference,B1,1.961e-320,True
44100,butter4-fc20000,reference,AB,2.164e-321,True
44100,butter4-fc20000,edge,A1,4.6e-322,True
44100,butter4-fc20000,edge,B1,8.40544e-319,True
44100,butter4-fc20000,edge,AB,4.6e-322,True
44100,butter4-fc20000,overlap-reference,A1,1.11542e-318,True
44100,butter4-fc20000,overlap-reference,B1,5.81e-321,True
44100,butter4-fc20000,overlap-reference,AB,1.11542e-318,True
44100,butter4-fc20000,sustained-edge,A1,2.0693786e-317,True
44100,butter4-fc20000,sustained-edge,B1,3.73573e-319,True
44100,butter4-fc20000,sustained-edge,AB,2.0693786e-317,True
44100,butter6-fc18000,reference,A1,4.94e-322,True
44100,butter6-fc18000,reference,B1,1.32e-320,True
44100,butter6-fc18000,reference,AB,4.94e-322,True
44100,butter6-fc18000,edge,A1,2.7e-322,True
44100,butter6-fc18000,edge,B1,7.69206e-319,True
44100,butter6-fc18000,edge,AB,2.7e-322,True
44100,butter6-fc18000,overlap-reference,A1,2e-323,True
44100,butter6-fc18000,overlap-reference,B1,5.87e-321,True
44100,butter6-fc18000,overlap-reference,AB,2e-323,True
44100,butter6-fc18000,sustained-edge,A1,5e-323,True
44100,butter6-fc18000,sustained-edge,B1,3.4187e-319,True
44100,butter6-fc18000,sustained-edge,AB,5e-323,True
44100,butter6-fc20000,reference,A1,2.955e-321,True
44100,butter6-fc20000,reference,B1,3.2594e-320,True
44100,butter6-fc20000,reference,AB,2.955e-321,True
44100,butter6-fc20000,edge,A1,8.05e-322,True
44100,butter6-fc20000,edge,B1,1.39659e-318,True
44100,butter6-fc20000,edge,AB,8.05e-322,True
44100,butter6-fc20000,overlap-reference,A1,5.692636298567098e-217,True
44100,butter6-fc20000,overlap-reference,B1,1.4486e-320,True
44100,butter6-fc20000,overlap-reference,AB,5.692636298567098e-217,True
44100,butter6-fc20000,sustained-edge,A1,1.2689069004837292e-215,True
44100,butter6-fc20000,sustained-edge,B1,6.20705e-319,True
44100,butter6-fc20000,sustained-edge,AB,1.2689069004837292e-215,True
44100,bessel4-fc18000,reference,A1,1.863e-321,True
44100,bessel4-fc18000,reference,B1,3.269e-320,True
44100,bessel4-fc18000,reference,AB,1.863e-321,True
44100,bessel4-fc18000,edge,A1,1.93e-322,True
44100,bessel4-fc18000,edge,B1,1.813853e-318,True
44100,bessel4-fc18000,edge,AB,1.93e-322,True
44100,bessel4-fc18000,overlap-reference,A1,2e-323,True
44100,bessel4-fc18000,overlap-reference,B1,5.81e-321,True
44100,bessel4-fc18000,overlap-reference,AB,2e-323,True
44100,bessel4-fc18000,sustained-edge,A1,1.1e-322,True
44100,bessel4-fc18000,sustained-edge,B1,1.61233e-319,True
44100,bessel4-fc18000,sustained-edge,AB,1.1e-322,True
44100,bessel4-fc20000,reference,A1,8.05e-322,True
44100,bessel4-fc20000,reference,B1,1.9684e-320,True
44100,bessel4-fc20000,reference,AB,8.05e-322,True
44100,bessel4-fc20000,edge,A1,4.5e-322,True
44100,bessel4-fc20000,edge,B1,3.503143e-318,True
44100,bessel4-fc20000,edge,AB,4.5e-322,True
44100,bessel4-fc20000,overlap-reference,A1,3e-323,True
44100,bessel4-fc20000,overlap-reference,B1,5.83e-321,True
44100,bessel4-fc20000,overlap-reference,AB,3e-323,True
44100,bessel4-fc20000,sustained-edge,A1,6.4e-323,True
44100,bessel4-fc20000,sustained-edge,B1,2.15578e-318,True
44100,bessel4-fc20000,sustained-edge,AB,6.4e-323,True
44100,fir33-fc18000,reference,A1,0.0,True
44100,fir33-fc18000,reference,B1,0.0,True
44100,fir33-fc18000,reference,AB,0.0,True
44100,fir33-fc18000,edge,A1,0.0,True
44100,fir33-fc18000,edge,B1,0.0,True
44100,fir33-fc18000,edge,AB,0.0,True
44100,fir33-fc18000,overlap-reference,A1,0.0,True
44100,fir33-fc18000,overlap-reference,B1,0.0,True
44100,fir33-fc18000,overlap-reference,AB,0.0,True
44100,fir33-fc18000,sustained-edge,A1,0.0,True
44100,fir33-fc18000,sustained-edge,B1,0.0,True
44100,fir33-fc18000,sustained-edge,AB,0.0,True
44100,fir33-fc20000,reference,A1,0.0,True
44100,fir33-fc20000,reference,B1,0.0,True
44100,fir33-fc20000,reference,AB,0.0,True
44100,fir33-fc20000,edge,A1,0.0,True
44100,fir33-fc20000,edge,B1,0.0,True
44100,fir33-fc20000,edge,AB,0.0,True
44100,fir33-fc20000,overlap-reference,A1,0.0,True
44100,fir33-fc20000,overlap-reference,B1,0.0,True
44100,fir33-fc20000,overlap-reference,AB,0.0,True
44100,fir33-fc20000,sustained-edge,A1,0.0,True
44100,fir33-fc20000,sustained-edge,B1,0.0,True
44100,fir33-fc20000,sustained-edge,AB,0.0,True
44100,fir65-fc18000,reference,A1,0.0,True
