policy,rate,reference_rate,profile,source,stage,band_0_16000_spectral_nrms,band_0_16000_energy_ratio_db,band_16000_20000_spectral_nrms,band_16000_20000_energy_ratio_db,envelope_nrms,peak_envelope_time_delta_ms,acceptance
S0,44100,96000,reference,A1,raw,6.0526565803648165,15.846431527087452,2.748083861541852,10.91903948603807,6.23053519184426,191,cross-rate listening pending; baseline source variation retained
S0,44100,96000,reference,A1,D-OFF,6.0526565803648165,15.846431527087452,2.748083861541852,10.91903948603807,6.23053519184426,191,cross-rate listening pending; baseline source variation retained
S0,48000,96000,reference,A1,raw,1.2359529612701936,1.0555336260121206,2.2571674610221364,9.539308286773378,1.51979256090364,281,cross-rate listening pending; baseline source variation retained
S0,48000,96000,reference,A1,D-OFF,1.2359529612701936,1.0555336260121206,2.2571674610221364,9.539308286773378,1.51979256090364,281,cross-rate listening pending; baseline source variation retained
S0,44100,96000,reference,B1,raw,1.1604403307337257,6.690842421570098,2.051823134098579,9.682012950929334,1.1618255558202413,0,cross-rate listening pending; baseline source variation retained
S0,44100,96000,reference,B1,D-OFF,1.1604403307337257,6.690842421570098,2.051823134098579,9.682012950929334,1.1618255558202413,0,cross-rate listening pending; baseline source variation retained
S0,48000,96000,reference,B1,raw,0.994803050193443,5.9979985144020205,1.5655124146653334,8.177181036976297,0.9948134720216855,0,cross-rate listening pending; baseline source variation retained
S0,48000,96000,reference,B1,D-OFF,0.994803050193443,5.9979985144020205,1.5655124146653334,8.177181036976297,0.9948134720216852,0,cross-rate listening pending; baseline source variation retained
S0,44100,96000,reference,AB,raw,5.984400194406309,15.76590249918219,2.7481033560968937,10.918992333102896,6.167702829728841,191,cross-rate listening pending; baseline source variation retained
S0,44100,96000,reference,AB,D-OFF,5.984400194406309,15.76590249918219,2.7481033560968937,10.918992333102896,6.167702829728841,191,cross-rate listening pending; baseline source variation retained
S0,48000,96000,reference,AB,raw,1.2297676119160044,1.2439813477216781,2.2572253821691017,9.539257525628805,1.5107361452454469,281,cross-rate listening pending; baseline source variation retained
S0,48000,96000,reference,AB,D-OFF,1.2297676119160044,1.2439813477216781,2.2572253821691017,9.539257525628805,1.5107361452454469,281,cross-rate listening pending; baseline source variation retained
S0,44100,96000,edge,A1,raw,1.8128318997246207,6.56989213822126,4.023709890537251,13.692143056188442,2.6243546910422864,399,cross-rate listening pending; baseline source variation retained
S0,44100,96000,edge,A1,D-OFF,1.8128318997246207,6.56989213822126,4.023709890537251,13.692143056188442,2.624354691042287,399,cross-rate listening pending; baseline source variation retained
S0,48000,96000,edge,A1,raw,0.9949409041506284,3.2848765933999964,2.0743550063206144,9.021063297758559,1.8918158811495709,489,cross-rate listening pending; baseline source variation retained
S0,48000,96000,edge,A1,D-OFF,0.9949409041506284,3.2848765933999964,2.0743550063206144,9.021063297758559,1.8918158811495713,489,cross-rate listening pending; baseline source variation retained
S0,44100,96000,edge,B1,raw,0.8178835966828949,5.121917191195684,1.2265949994376453,6.938370514161884,1.1439019492188984,0,cross-rate listening pending; baseline source variation retained
S0,44100,96000,edge,B1,D-OFF,0.8178835966828949,5.121917191195684,1.2265949994376453,6.938370514161884,1.1439019492188989,0,cross-rate listening pending; baseline source variation retained
S0,48000,96000,edge,B1,raw,0.7586389683403804,4.861440084421163,1.017926083312432,6.093882102176938,0.9865862074040829,0,cross-rate listening pending; baseline source variation retained
S0,48000,96000,edge,B1,D-OFF,0.7586389683403804,4.861440084421163,1.017926083312432,6.093882102176938,0.9865862074040829,0,cross-rate listening pending; baseline source variation retained
S0,44100,96000,edge,AB,raw,1.8128308057642866,6.569889046210041,4.023724839317907,13.69214382700681,2.624354507792665,399,cross-rate listening pending; baseline source variation retained
S0,44100,96000,edge,AB,D-OFF,1.8128308057642866,6.569889046210041,4.023724839317907,13.69214382700681,2.624354507792665,399,cross-rate listening pending; baseline source variation retained
S0,48000,96000,edge,AB,raw,0.9949335364139,3.284872543938798,2.0743117340863235,9.021073156180746,1.8918157624191603,489,cross-rate listening pending; baseline source variation retained
S0,48000,96000,edge,AB,D-OFF,0.9949335364139,3.284872543938798,2.0743117340863235,9.021073156180746,1.8918157624191603,489,cross-rate listening pending; baseline source variation retained
S0,44100,96000,overlap-reference,A1,raw,11.0793626225529,20.94170198997255,0.7559845817243167,1.7259107248131604,11.075658739076415,239,cross-rate listening pending; baseline source variation retained
S0,44100,96000,overlap-reference,A1,D-OFF,11.0793626225529,20.94170198997255,0.7559845817243167,1.7259107248131604,11.075658739076417,239,cross-rate listening pending; baseline source variation retained
S0,48000,96000,overlap-reference,A1,raw,14.512104993936122,23.273688437606864,0.7619814137888601,1.8390341271436057,14.57481795033397,182,cross-rate listening pending; baseline source variation retained
S0,48000,96000,overlap-reference,A1,D-OFF,14.512104993936122,23.273688437606864,0.7619814137888601,1.8390341271436057,14.57481795033397,182,cross-rate listening pending; baseline source variation retained
S0,44100,96000,overlap-reference,B1,raw,1.1604403405507426,6.690842461029586,2.0518189195302714,9.68200071174311,1.1618255656373686,0,cross-rate listening pending; baseline source variation retained
S0,44100,96000,overlap-reference,B1,D-OFF,1.1604403405507426,6.690842461029586,2.0518189195302714,9.68200071174311,1.1618255656373686,0,cross-rate listening pending; baseline source variation retained
S0,48000,96000,overlap-reference,B1,raw,0.9948030603753041,5.997998558737093,1.5655101425963647,8.17717309234063,0.9948134821959365,0,cross-rate listening pending; baseline source variation retained
S0,48000,96000,overlap-reference,B1,D-OFF,0.9948030603753041,5.997998558737093,1.5655101425963647,8.17717309234063,0.9948134821959366,0,cross-rate listening pending; baseline source variation retained
S0,44100,96000,overlap-reference,AB,raw,11.07856143845089,20.941094121301408,0.7559751168641935,1.725677301144072,11.074826046116524,239,cross-rate listening pending; baseline source variation retained
S0,44100,96000,overlap-reference,AB,D-OFF,11.07856143845089,20.941094121301408,0.7559751168641935,1.725677301144072,11.074826046116524,239,cross-rate listening pending; baseline source variation retained
S0,48000,96000,overlap-reference,AB,raw,14.511041460362739,23.273068161271677,0.7619842178097337,1.8390389768954085,14.57372297569133,182,cross-rate listening pending; baseline source variation retained
S0,48000,96000,overlap-reference,AB,D-OFF,14.511041460362739,23.273068161271677,0.7619842178097337,1.8390389768954085,14.57372297569133,182,cross-rate listening pending; baseline source variation retained
S0,44100,96000,sustained-edge,A1,raw,1.2503434153220636,3.466758895855888,0.6892390782344097,1.0568076529641495,1.608602798868341,238,cross-rate listening pending; baseline source variation retained
S0,44100,96000,sustained-edge,A1,D-OFF,1.2503434153220636,3.466758895855888,0.6892390782344097,1.0568076529641495,1.6086027988683411,238,cross-rate listening pending; baseline source variation retained
S0,48000,96000,sustained-edge,A1,raw,1.5583797861889668,5.0227701650903676,0.6586485165068745,0.5604879773980675,1.9378456993334285,182,cross-rate listening pending; baseline source variation retained
S0,48000,96000,sustained-edge,A1,D-OFF,1.5583797861889668,5.0227701650903676,0.6586485165068745,0.5604879773980675,1.9378456993334285,182,cross-rate listening pending; baseline source variation retained
S0,44100,96000,sustained-edge,B1,raw,0.8178836667369361,5.121917513747346,1.2265950382671118,6.9383706691960185,1.1439019930996859,0,cross-rate listening pending; baseline source variation retained
S0,44100,96000,sustained-edge,B1,D-OFF,0.8178836667369361,5.121917513747346,1.2265950382671118,6.9383706691960185,1.1439019930996863,0,cross-rate listening pending; baseline source variation retained
S0,48000,96000,sustained-edge,B1,raw,0.7586390488781968,4.861440434214387,1.017926078822519,6.093882084119539,0.9865862158116327,0,cross-rate listening pending; baseline source variation retained
S0,48000,96000,sustained-edge,B1,D-OFF,0.7586390488781968,4.861440434214387,1.017926078822519,6.093882084119539,0.9865862158116326,0,cross-rate listening pending; baseline source variation retained
S0,44100,96000,sustained-edge,AB,raw,1.2503439846720297,3.466767396195354,0.6892436375625207,1.056826110831948,1.6086007206226949,238,cross-rate listening pending; baseline source variation retained
S0,44100,96000,sustained-edge,AB,D-OFF,1.2503439846720297,3.466767396195354,0.6892436375625207,1.056826110831948,1.6086007206226949,238,cross-rate listening pending; baseline source variation retained
S0,48000,96000,sustained-edge,AB,raw,1.558379998883143,5.022770093710493,0.6586395417468277,0.5604912683771488,1.937845694092858,182,cross-rate listening pending; baseline source variation retained
S0,48000,96000,sustained-edge,AB,D-OFF,1.558379998883143,5.022770093710493,0.6586395417468277,0.5604912683771488,1.937845694092858,182,cross-rate listening pending; baseline source variation retained
S1-butter4,44100,96000,reference,A1,raw,6.0526565803648165,15.846431527087452,2.748083861541852,10.91903948603807,6.23053519184426,191,cross-rate listening pending; baseline source variation retained
S1-butter4,44100,96000,reference,A1,D-OFF,6.052656120354318,15.84643078184518,2.7089042533077095,10.81708245002761,6.229736008845685,191,cross-rate listening pending; baseline source variation retained
S1-butter4,44100,96000,reference,A1,D-ON,6.053418996107267,15.847056389422887,2.7231052747531863,10.852251121121055,6.2297725747554855,191,cross-rate listening pending; baseline source variation retained
S1-butter4,48000,96000,reference,A1,raw,1.2359529612701936,1.0555336260121206,2.2571674610221364,9.539308286773378,1.51979256090364,281,cross-rate listening pending; baseline source variation retained
S1-butter4,48000,96000,reference,A1,D-OFF,1.235913028967409,1.0551182315952028,2.2057071310970477,9.3703136859742,1.5167563822845878,281,cross-rate listening pending; baseline source variation retained
S1-butter4,48000,96000,reference,A1,D-ON,1.235188645280089,1.053091966105292,2.2113880933395658,9.390366056673464,1.5166015491421265,281,cross-rate listening pending; baseline source variation retained
S1-butter4,44100,96000,reference,B1,raw,1.1604403307337257,6.690842421570098,2.051823134098579,9.682012950929334,1.1618255558202413,0,cross-rate listening pending; baseline source variation retained
S1-butter4,44100,96000,reference,B1,D-OFF,1.1604403305011537,6.690842420768369,1.9843750916282232,9.491758492567062,1.1618426291705968,0,cross-rate listening pending; baseline source variation retained
S1-butter4,44100,96000,reference,B1,D-ON,1.1604721495848331,6.69097035003742,1.984318747483514,9.491552187041663,1.1617999975220892,0,cross-rate listening pending; baseline source variation retained
S1-butter4,48000,96000,reference,B1,raw,0.994803050193443,5.9979985144020205,1.5655124146653334,8.177181036976297,0.9948134720216855,0,cross-rate listening pending; baseline source variation retained
S1-butter4,48000,96000,reference,B1,D-OFF,0.9948030455314235,5.997998496613668,1.4636956522583586,7.827331175030001,0.9948482946744767,0,cross-rate listening pending; baseline source variation retained
S1-butter4,48000,96000,reference,B1,D-ON,0.9949280615736164,5.998542846265709,1.4635038492935417,7.8265683378467585,0.9949697741138337,0,cross-rate listening pending; baseline source variation retained
S1-butter4,44100,96000,reference,AB,raw,5.984400194406309,15.76590249918219,2.7481033560968937,10.918992333102896,6.167702829728841,191,cross-rate listening pending; baseline source variation retained
S1-butter4,44100,96000,reference,AB,D-OFF,5.984399738876621,15.765901755867466,2.7089275777837045,10.817040057460447,6.166912356706709,191,cross-rate listening pending; baseline source variation retained
S1-butter4,44100,96000,reference,AB,D-ON,5.985030008416261,15.7665195967804,2.7231487910679597,10.852238956714746,6.166942051767584,191,cross-rate listening pending; baseline source variation retained
S1-butter4,48000,96000,reference,AB,raw,1.2297676119160044,1.2439813477216781,2.2572253821691017,9.539257525628805,1.5107361452454469,281,cross-rate listening pending; baseline source variation retained
S1-butter4,48000,96000,reference,AB,D-OFF,1.2297283170764366,1.2435919099882995,2.205763212490563,9.37025954995445,1.5077457720767928,281,cross-rate listening pending; baseline source variation retained
S1-butter4,48000,96000,reference,AB,D-ON,1.228982446428985,1.24174148313752,2.2111839466853223,9.3903283084116,1.5075940162032633,281,cross-rate listening pending; baseline source variation retained
S1-butter4,44100,96000,edge,A1,raw,1.8128318997246207,6.56989213822126,4.023709890537251,13.692143056188442,2.6243546910422864,399,cross-rate listening pending; baseline source variation retained
S1-butter4,44100,96000,edge,A1,D-OFF,1.8128265960068977,6.569855643938425,3.9584294735048275,13.578091852162908,2.59835096802086,399,cross-rate listening pending; baseline source variation retained
S1-butter4,44100,96000,edge,A1,D-ON,1.8121057661332276,6.562947587988833,3.973156179929733,13.60770970252917,2.5967836574837406,399,cross-rate listening pending; baseline source variation retained
S1-butter4,48000,96000,edge,A1,raw,0.9949409041506284,3.2848765933999964,2.0743550063206144,9.021063297758559,1.8918158811495709,489,cross-rate listening pending; baseline source variation retained
