rate,reference_rate,profile,source,event_count,reference_event_count,ordinal_pairs,ordinal_identity_token_matches,ordinal_radius_matches,max_ordinal_time_delta_ms,admitted_count,reference_admitted_count,scope
44100,96000,reference,A1,30,26,26,1,1,201.42531179138322,30,26,"unchanged source event streams; ordinal pairing is diagnostic, not same-event proof"
44100,96000,reference,B1,1,1,1,1,1,0.0,1,1,"unchanged source event streams; ordinal pairing is diagnostic, not same-event proof"
48000,96000,reference,A1,23,26,23,2,2,294.0520833333333,23,26,"unchanged source event streams; ordinal pairing is diagnostic, not same-event proof"
48000,96000,reference,B1,1,1,1,1,1,0.0,1,1,"unchanged source event streams; ordinal pairing is diagnostic, not same-event proof"
44100,96000,edge,A1,30,26,26,1,1,201.42531179138322,30,26,"unchanged source event streams; ordinal pairing is diagnostic, not same-event proof"
44100,96000,edge,B1,1,1,1,1,1,0.0,1,1,"unchanged source event streams; ordinal pairing is diagnostic, not same-event proof"
48000,96000,edge,A1,23,26,23,3,3,294.0520833333333,23,26,"unchanged source event streams; ordinal pairing is diagnostic, not same-event proof"
48000,96000,edge,B1,1,1,1,1,1,0.0,1,1,"unchanged source event streams; ordinal pairing is diagnostic, not same-event proof"
44100,96000,overlap-reference,A1,333,322,322,7,7,66.54471371882087,333,322,"unchanged source event streams; ordinal pairing is diagnostic, not same-event proof"
44100,96000,overlap-reference,B1,1,1,1,1,1,0.0,1,1,"unchanged source event streams; ordinal pairing is diagnostic, not same-event proof"
48000,96000,overlap-reference,A1,324,322,322,14,14,68.36458333333329,324,322,"unchanged source event streams; ordinal pairing is diagnostic, not same-event proof"
48000,96000,overlap-reference,B1,1,1,1,1,1,0.0,1,1,"unchanged source event streams; ordinal pairing is diagnostic, not same-event proof"
44100,96000,sustained-edge,A1,333,322,322,21,21,66.54471371882087,333,322,"unchanged source event streams; ordinal pairing is diagnostic, not same-event proof"
44100,96000,sustained-edge,B1,1,1,1,1,1,0.0,1,1,"unchanged source event streams; ordinal pairing is diagnostic, not same-event proof"
48000,96000,sustained-edge,A1,324,322,322,14,14,68.36458333333329,324,322,"unchanged source event streams; ordinal pairing is diagnostic, not same-event proof"
48000,96000,sustained-edge,B1,1,1,1,1,1,0.0,1,1,"unchanged source event streams; ordinal pairing is diagnostic, not same-event proof"
