policy,rate,profile,source,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,scope
S0,96000,reference,A1,0.5007777020831862,0.8421783071659631,0.14905631635249117,True,physical effect plus numerical residual; not listening score
S0,96000,reference,B1,0.3367958949123954,0.3287132306556828,0.003314771371051222,True,physical effect plus numerical residual; not listening score
S0,96000,reference,AB,0.49791847895127195,0.8421783071659631,0.1483792528339939,True,physical effect plus numerical residual; not listening score
S0,96000,edge,A1,0.977215992922162,1.1044938548679308,0.2962189257323443,True,physical effect plus numerical residual; not listening score
S0,96000,edge,B1,1.9089807779699561,1.8753476572715968,0.0040531339205064085,True,physical effect plus numerical residual; not listening score
S0,96000,edge,AB,0.9772162301535732,1.1044938548679308,0.296220322498409,True,physical effect plus numerical residual; not listening score
S0,96000,overlap-reference,A1,0.5717556595850551,0.5392742883397137,0.203631440359677,True,physical effect plus numerical residual; not listening score
S0,96000,overlap-reference,B1,0.3367958949343363,0.32871323469602226,0.0033147713651779736,True,physical effect plus numerical residual; not listening score
S0,96000,overlap-reference,AB,0.5717286367579687,0.5393111244944916,0.20361976213594937,True,physical effect plus numerical residual; not listening score
S0,96000,sustained-edge,A1,1.3293711225030516,1.4242804411534642,0.49132306467306497,True,physical effect plus numerical residual; not listening score
S0,96000,sustained-edge,B1,1.908980778404553,1.8753476557757467,0.0040531337797354286,True,physical effect plus numerical residual; not listening score
S0,96000,sustained-edge,AB,1.3293711259108931,1.4242804411534642,0.4913233997734896,True,physical effect plus numerical residual; not listening score
S1-butter4,44100,reference,A1,0.26723689695892683,0.32258861451429804,0.05347140668959354,True,physical effect plus numerical residual; not listening score
S1-butter4,48000,reference,A1,0.9083488574404142,0.7754181753395789,0.18146436994348691,True,physical effect plus numerical residual; not listening score
S1-butter4,96000,reference,A1,0.5007777020831862,0.8421783071659631,0.14905631635249117,True,physical effect plus numerical residual; not listening score
S1-butter4,44100,reference,B1,0.336882355397587,0.36163149970020053,0.0033047252566825,True,physical effect plus numerical residual; not listening score
S1-butter4,48000,reference,B1,0.3368539829795198,0.33698303755968373,0.00331163708870221,True,physical effect plus numerical residual; not listening score
S1-butter4,96000,reference,B1,0.3367958949123954,0.3287132306556828,0.003314771371051222,True,physical effect plus numerical residual; not listening score
S1-butter4,44100,reference,AB,0.26744026341830945,0.32258861451429804,0.053882696266969274,True,physical effect plus numerical residual; not listening score
S1-butter4,48000,reference,AB,0.8841316874865482,0.7754181753395789,0.176018667289899,True,physical effect plus numerical residual; not listening score
S1-butter4,96000,reference,AB,0.49791847895127195,0.8421783071659631,0.1483792528339939,True,physical effect plus numerical residual; not listening score
S1-butter4,44100,edge,A1,0.8665945854318359,0.8806289770845134,0.28085411509161634,True,physical effect plus numerical residual; not listening score
