rate,conditioner,kernel,profile,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,reference_convergence,implementation_nrms,implementation_peak_error,native_numerical_pass
44100,butter4-fc20000,kaiser-g32,reference,4.992219070495566e-05,4.857954738042452e-05,4.649000053491804e-05,True,8.785124842961062e-09,3.3207619456754706e-09,8.0232548807613e-09,True
44100,butter4-fc20000,kaiser-g32,edge,0.00022998941729248583,0.00014019798640150857,0.00019766971603990698,True,6.452964391813936e-08,2.2456707226249637e-08,2.68293239614643e-08,True
44100,butter4-fc20000,kaiser-g32,overlap-reference,2.175619889006485e-05,2.6913597005144703e-05,2.099527444094579e-05,True,6.946901409256459e-10,4.0796155318669184e-10,8.131933263261661e-10,True
44100,butter4-fc20000,kaiser-g32,sustained-edge,0.00018042945317264146,6.966180797903685e-05,0.00015663979426784217,True,1.9709008495131525e-08,1.5643964614090217e-08,1.2014667484967983e-08,True
44100,butter6-fc20000,kaiser-g32,reference,3.362846320610968e-05,2.9829112508427967e-05,3.316294999113967e-05,True,9.4202150454553e-09,3.265452799299696e-09,6.19253950249605e-09,True
44100,butter6-fc20000,kaiser-g32,edge,7.198737383292787e-05,4.6319465536496574e-05,6.302703011243366e-05,True,5.7861239098153474e-08,2.2338270824448056e-08,3.172021781499911e-08,True
44100,butter6-fc20000,kaiser-g32,overlap-reference,2.127759139486172e-05,2.6235443902508056e-05,2.0609396722175228e-05,True,6.47343245709142e-10,4.0648684233064134e-10,7.352154438269509e-10,True
44100,butter6-fc20000,kaiser-g32,sustained-edge,5.879384916366664e-05,3.5483928443658955e-05,5.267149980805867e-05,True,1.986109762132e-08,1.5601998603791815e-08,1.2547624401498984e-08,True
44100,fir65-fc20000,kaiser-g32,reference,3.3893880709553994e-05,3.1005205599893344e-05,3.3384535462352176e-05,True,7.86930218761386e-09,3.445411219192939e-09,7.379297876386753e-09,True
44100,fir65-fc20000,kaiser-g32,edge,7.578810299982305e-05,6.469834098670739e-05,6.611535056970414e-05,True,5.468702325757803e-08,2.2487938359644253e-08,4.020734871438116e-08,True
44100,fir65-fc20000,kaiser-g32,overlap-reference,2.1286765177138152e-05,2.6419162620784388e-05,2.0617540973226223e-05,True,6.578508406523721e-10,4.1234402349693904e-10,7.950204200982257e-10,True
44100,fir65-fc20000,kaiser-g32,sustained-edge,6.185239920040856e-05,3.016518154918759e-05,5.5045793210096976e-05,True,1.9770813890292315e-08,1.5375144385371983e-08,1.0638277711943212e-08,True
48000,butter4-fc20000,kaiser-g16,reference,0.0002525737916142803,0.00020520919977323323,0.0002184250150838089,True,1.3203081206826763e-08,1.0938693608492744e-08,1.0145013726125216e-08,True
48000,butter4-fc20000,kaiser-g16,edge,0.0005252283627742139,0.0004261129052258995,0.00044997824319320155,True,2.7097903483969957e-08,2.0976239550509727e-08,2.4953436557292717e-08,True
48000,butter4-fc20000,kaiser-g16,overlap-reference,5.22583872408369e-05,5.3587673621600104e-05,5.1764692301587525e-05,True,4.808688412293294e-10,2.684236255308416e-10,7.925077013770237e-10,True
48000,butter4-fc20000,kaiser-g16,sustained-edge,0.0003107773078289268,0.0001377978093520344,0.00028005772373832535,True,9.131138705351308e-09,1.0855787042783098e-08,5.456811928292203e-09,True
48000,butter6-fc20000,kaiser-g16,reference,9.513056831009718e-05,7.807506135271097e-05,8.277829566395533e-05,True,1.1430528709995997e-08,1.0923825801819344e-08,1.2612187179913488e-08,True
48000,butter6-fc20000,kaiser-g16,edge,0.00019344023369574816,0.00015060039089826062,0.00016642617688829062,True,2.5903511026532736e-08,2.0230541830305066e-08,2.104184823577923e-08,True
48000,butter6-fc20000,kaiser-g16,overlap-reference,5.181271734507066e-05,5.119497120535233e-05,5.139687138203528e-05,True,4.569758476674247e-10,2.658487823323352e-10,5.943625849971998e-10,True
48000,butter6-fc20000,kaiser-g16,sustained-edge,0.00011702807232514681,6.609756704713733e-05,0.00010653749725883846,True,9.02065210543086e-09,1.0914508520730345e-08,5.740394478103961e-09,True
48000,fir65-fc20000,kaiser-g16,reference,3.686503514197434e-05,2.166809843826983e-05,3.203931138804961e-05,True,1.0275106442757146e-08,1.1088023588756497e-08,1.162742020120935e-08,True
