rate,conditioner,kernel,profile,block,mean_us,p95_us,p99_us,max_us,state_bytes,observed_allocations,reset_partition_exact,measured_blocks,total_latency_samples,scope
44100,butter4-fc20000,kaiser-g32,reference,32,6.42,6.6,6.6,6.6,2136152,0,true,5,32,candidate and harness only; not plugin budget
44100,butter4-fc20000,kaiser-g32,reference,64,12.72,12.8,12.8,12.8,2136152,0,true,5,32,candidate and harness only; not plugin budget
44100,butter4-fc20000,kaiser-g32,reference,128,24.88,25.9,25.9,25.9,2136152,0,true,5,32,candidate and harness only; not plugin budget
44100,butter4-fc20000,kaiser-g32,reference,256,47.92,48.9,48.9,48.9,2136152,0,true,5,32,candidate and harness only; not plugin budget
44100,butter4-fc20000,kaiser-g32,reference,257,48.14,49.3,49.3,49.3,2136152,0,true,5,32,candidate and harness only; not plugin budget
44100,butter4-fc20000,kaiser-g32,reference,512,100.06,107.7,107.7,107.7,2136152,0,true,5,32,candidate and harness only; not plugin budget
44100,butter4-fc20000,kaiser-g32,reference,1024,214.9,234.4,234.4,234.4,2136152,0,true,5,32,candidate and harness only; not plugin budget
44100,butter4-fc20000,kaiser-g32,edge,32,6.7,6.9,6.9,6.9,2136152,0,true,5,32,candidate and harness only; not plugin budget
44100,butter4-fc20000,kaiser-g32,edge,64,13.12,13.4,13.4,13.4,2136152,0,true,5,32,candidate and harness only; not plugin budget
44100,butter4-fc20000,kaiser-g32,edge,128,25.46,26.6,26.6,26.6,2136152,0,true,5,32,candidate and harness only; not plugin budget
44100,butter4-fc20000,kaiser-g32,edge,256,48.3,49.3,49.3,49.3,2136152,0,true,5,32,candidate and harness only; not plugin budget
44100,butter4-fc20000,kaiser-g32,edge,257,54.92,81.4,81.4,81.4,2136152,0,true,5,32,candidate and harness only; not plugin budget
44100,butter4-fc20000,kaiser-g32,edge,512,103.44,120.8,120.8,120.8,2136152,0,true,5,32,candidate and harness only; not plugin budget
44100,butter4-fc20000,kaiser-g32,edge,1024,216.78,235.6,235.6,235.6,2136152,0,true,5,32,candidate and harness only; not plugin budget
44100,butter4-fc20000,kaiser-g32,overlap-reference,32,6.4386,6.8,7.1,33,2136152,0,true,500,32,candidate and harness only; not plugin budget
44100,butter4-fc20000,kaiser-g32,overlap-reference,64,13.3066,15.2,22.1,42.3,2136152,0,true,500,32,candidate and harness only; not plugin budget
44100,butter4-fc20000,kaiser-g32,overlap-reference,128,27.4676,51.8,56.5,110.8,2136152,0,true,500,32,candidate and harness only; not plugin budget
44100,butter4-fc20000,kaiser-g32,overlap-reference,256,51.8752,62,79,86,2136152,0,true,500,32,candidate and harness only; not plugin budget
44100,butter4-fc20000,kaiser-g32,overlap-reference,257,52.305,65.2,72.1,79,2136152,0,true,500,32,candidate and harness only; not plugin budget
44100,butter4-fc20000,kaiser-g32,overlap-reference,512,104.609,121.9,137.1,154.6,2136152,0,true,500,32,candidate and harness only; not plugin budget
44100,butter4-fc20000,kaiser-g32,overlap-reference,1024,208.781,242.2,252.9,283.4,2136152,0,true,500,32,candidate and harness only; not plugin budget
44100,butter4-fc20000,kaiser-g32,sustained-edge,32,6.34,6.5,6.5,6.5,2136152,0,true,5,32,candidate and harness only; not plugin budget
44100,butter4-fc20000,kaiser-g32,sustained-edge,64,12.62,12.7,12.7,12.7,2136152,0,true,5,32,candidate and harness only; not plugin budget
44100,butter4-fc20000,kaiser-g32,sustained-edge,128,27.96,42.1,42.1,42.1,2136152,0,true,5,32,candidate and harness only; not plugin budget
44100,butter4-fc20000,kaiser-g32,sustained-edge,256,47.98,49,49,49,2136152,0,true,5,32,candidate and harness only; not plugin budget
44100,butter4-fc20000,kaiser-g32,sustained-edge,257,49.24,53.8,53.8,53.8,2136152,0,true,5,32,candidate and harness only; not plugin budget
44100,butter4-fc20000,kaiser-g32,sustained-edge,512,99.12,106,106,106,2136152,0,true,5,32,candidate and harness only; not plugin budget
44100,butter4-fc20000,kaiser-g32,sustained-edge,1024,200.08,208.5,208.5,208.5,2136152,0,true,5,32,candidate and harness only; not plugin budget
44100,butter6-fc20000,kaiser-g32,reference,32,6.82,6.9,6.9,6.9,2136232,0,true,5,32,candidate and harness only; not plugin budget
44100,butter6-fc20000,kaiser-g32,reference,64,13.68,14,14,14,2136232,0,true,5,32,candidate and harness only; not plugin budget
44100,butter6-fc20000,kaiser-g32,reference,128,25.8,27.4,27.4,27.4,2136232,0,true,5,32,candidate and harness only; not plugin budget
44100,butter6-fc20000,kaiser-g32,reference,256,48.56,49.7,49.7,49.7,2136232,0,true,5,32,candidate and harness only; not plugin budget
44100,butter6-fc20000,kaiser-g32,reference,257,48.92,49.7,49.7,49.7,2136232,0,true,5,32,candidate and harness only; not plugin budget
44100,butter6-fc20000,kaiser-g32,reference,512,100.4,107.2,107.2,107.2,2136232,0,true,5,32,candidate and harness only; not plugin budget
44100,butter6-fc20000,kaiser-g32,reference,1024,220.5,261.2,261.2,261.2,2136232,0,true,5,32,candidate and harness only; not plugin budget
