rate,reference_rate,kernel,frequency_hz,common_time_error_rms,pair_budget_pass
44100,96000,lagrange-g0,1000.0,5.678862759889485e-06,True
44100,96000,lagrange-g0,2000.0,9.037431430641499e-05,True
44100,96000,lagrange-g0,4000.0,0.0014079921023841722,True
44100,96000,lagrange-g0,8000.0,0.02047794621356798,False
44100,96000,lagrange-g0,12000.0,0.0971190618699095,False
44100,96000,lagrange-g0,16000.0,0.22512577682142834,False
44100,96000,lagrange-g0,18000.0,0.11823421737551229,False
44100,96000,lagrange-g0,20000.0,0.41057906056953963,False
44100,96000,lagrange-g8,1000.0,1.1013455010039187e-13,True
44100,96000,lagrange-g8,2000.0,2.2635728861268268e-13,True
44100,96000,lagrange-g8,4000.0,3.658102392435943e-11,True
44100,96000,lagrange-g8,8000.0,2.67096787196575e-06,True
44100,96000,lagrange-g8,12000.0,0.0011813955987679701,True
44100,96000,lagrange-g8,16000.0,0.032385174431980655,False
44100,96000,lagrange-g8,18000.0,0.13843994682909838,False
44100,96000,lagrange-g8,20000.0,0.2368666767876811,False
44100,96000,hann-g8,1000.0,6.151150903962649e-05,True
44100,96000,hann-g8,2000.0,0.0001690152242321857,True
44100,96000,hann-g8,4000.0,0.00021928014870499295,True
44100,96000,hann-g8,8000.0,0.00033372997608086154,True
44100,96000,hann-g8,12000.0,0.00016445180748295182,True
44100,96000,hann-g8,16000.0,0.004423515778350293,True
44100,96000,hann-g8,18000.0,0.01430817173352213,True
44100,96000,hann-g8,20000.0,0.14078954412771927,False
44100,96000,kaiser-g8,1000.0,2.816112722640951e-05,True
44100,96000,kaiser-g8,2000.0,3.1105333431165824e-05,True
44100,96000,kaiser-g8,4000.0,3.8018657631383764e-05,True
44100,96000,kaiser-g8,8000.0,3.5228524141827104e-05,True
44100,96000,kaiser-g8,12000.0,1.592214924995459e-05,True
44100,96000,kaiser-g8,16000.0,0.0024572785521985996,True
44100,96000,kaiser-g8,18000.0,0.04847394331828708,False
44100,96000,kaiser-g8,20000.0,0.17181364630554163,False
44100,96000,lagrange-g16,1000.0,1.1147588881107187e-13,True
44100,96000,lagrange-g16,2000.0,2.2816759169203734e-13,True
44100,96000,lagrange-g16,4000.0,4.180987936326774e-13,True
44100,96000,lagrange-g16,8000.0,9.873717348398838e-11,True
44100,96000,lagrange-g16,12000.0,9.46478928722478e-06,True
44100,96000,lagrange-g16,16000.0,0.005316060616294426,True
44100,96000,lagrange-g16,18000.0,0.056136772416210866,False
44100,96000,lagrange-g16,20000.0,0.17118570885652554,False
44100,96000,hann-g16,1000.0,2.0248225508799954e-05,True
44100,96000,hann-g16,2000.0,2.6118829591998866e-05,True
44100,96000,hann-g16,4000.0,2.7532808309089583e-05,True
44100,96000,hann-g16,8000.0,5.3483641928517133e-05,True
44100,96000,hann-g16,12000.0,8.853310847513888e-05,True
44100,96000,hann-g16,16000.0,0.0002831787295264364,True
44100,96000,hann-g16,18000.0,0.0019374729386857261,True
44100,96000,hann-g16,20000.0,0.01017264986245318,True
44100,96000,kaiser-g16,1000.0,2.0223998244115122e-05,True
44100,96000,kaiser-g16,2000.0,2.13268377162771e-05,True
44100,96000,kaiser-g16,4000.0,1.7080644740971606e-05,True
44100,96000,kaiser-g16,8000.0,3.708924763828719e-05,True
44100,96000,kaiser-g16,12000.0,3.7282219287131706e-05,True
44100,96000,kaiser-g16,16000.0,1.4457806580067778e-05,True
44100,96000,kaiser-g16,18000.0,3.0339121467919153e-05,True
44100,96000,kaiser-g16,20000.0,0.03679844324224997,False
44100,96000,lagrange-g32,1000.0,1.1285112440818149e-13,True
44100,96000,lagrange-g32,2000.0,2.2975832198228207e-13,True
44100,96000,lagrange-g32,4000.0,4.2325684525127844e-13,True
44100,96000,lagrange-g32,8000.0,8.712942899553931e-13,True
44100,96000,lagrange-g32,12000.0,8.263331978432337e-10,True
44100,96000,lagrange-g32,16000.0,0.00018342935280804012,True
44100,96000,lagrange-g32,18000.0,0.011194579368626303,True
44100,96000,lagrange-g32,20000.0,0.1009477696086934,False
44100,96000,hann-g32,1000.0,3.2321318994496264e-06,True
44100,96000,hann-g32,2000.0,3.2287250473138647e-06,True
44100,96000,hann-g32,4000.0,4.67538754968158e-06,True
44100,96000,hann-g32,8000.0,4.545615125093076e-06,True
44100,96000,hann-g32,12000.0,5.9841809920208945e-06,True
44100,96000,hann-g32,16000.0,4.218146227947472e-05,True
44100,96000,hann-g32,18000.0,0.00022151450419348508,True
44100,96000,hann-g32,20000.0,0.0015439867162558077,True
44100,96000,kaiser-g32,1000.0,1.1173744217315733e-05,True
44100,96000,kaiser-g32,2000.0,9.84463391023705e-06,True
44100,96000,kaiser-g32,4000.0,1.834641745949631e-05,True
44100,96000,kaiser-g32,8000.0,1.4614654310228895e-05,True
44100,96000,kaiser-g32,12000.0,1.1121678667562326e-05,True
44100,96000,kaiser-g32,16000.0,1.7689868409900606e-05,True
44100,96000,kaiser-g32,18000.0,3.6011666592747e-05,True
44100,96000,kaiser-g32,20000.0,8.736035877099447e-06,True
