rate,reference_rate,conditioner,reference_conditioner,frequency_hz,magnitude_difference_db,phase_difference_rad,engineering_latency_removed,acceptance
44100,96000,iir-p16000-s18000,iir-p16000-s18000,1000.0,1.5429239464852578e-14,1.7345483715413172,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p16000-s18000,iir-p16000-s18000,2000.0,7.714619732426294e-15,-2.809515230890809,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p16000-s18000,iir-p16000-s18000,4000.0,1.735789439795915e-14,0.7009385124391774,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p16000-s18000,iir-p16000-s18000,8000.0,-9.643274665532877e-15,1.701680549253716,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p16000-s18000,iir-p16000-s18000,12000.0,-2.536181237035182e-13,-2.96898005614606,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p16000-s18000,iir-p16000-s18000,16000.0,-2.121520426417234e-14,-0.6378621473504155,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p16000-s18000,iir-p16000-s18000,18000.0,-2.442030971711207,2.220897609235209,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p16000-s18000,iir-p16000-s18000,20000.0,-57.187859981656864,-2.9326531156186957,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir17-p16000-s18000,fir17-p16000-s18000,1000.0,-0.0010285615212619068,1.5573596890905418e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir17-p16000-s18000,fir17-p16000-s18000,2000.0,-0.005000484920426163,3.4043257357223924e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir17-p16000-s18000,fir17-p16000-s18000,4000.0,-0.020832259818682447,2.1510245700716993e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir17-p16000-s18000,fir17-p16000-s18000,8000.0,0.1219753551836735,1.6184332726499383e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir17-p16000-s18000,fir17-p16000-s18000,12000.0,1.235827698767675,3.382393569378523e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir17-p16000-s18000,fir17-p16000-s18000,16000.0,1.3070239536565733,4.024609130973145e-17,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir17-p16000-s18000,fir17-p16000-s18000,18000.0,-2.2946421565665394,2.738740125211514e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir17-p16000-s18000,fir17-p16000-s18000,20000.0,-11.287442990083223,-1.173526484939844e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir33-p16000-s18000,fir33-p16000-s18000,1000.0,-0.0011484158655749963,9.64853164863623e-17,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir33-p16000-s18000,fir33-p16000-s18000,2000.0,0.00014882308752102,8.708058137779817e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir33-p16000-s18000,fir33-p16000-s18000,4000.0,0.0004944494387997924,1.5546200390497969e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir33-p16000-s18000,fir33-p16000-s18000,8000.0,0.0030470960166342543,-1.974454269165313e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir33-p16000-s18000,fir33-p16000-s18000,12000.0,0.0489170766399756,1.280776992428347e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir33-p16000-s18000,fir33-p16000-s18000,16000.0,1.9023116930285542,-6.606311808645972e-17,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir33-p16000-s18000,fir33-p16000-s18000,18000.0,-5.855652292723418,3.4175608453411953e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir33-p16000-s18000,fir33-p16000-s18000,20000.0,-38.210570860464756,-3.14159265358977,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir65-p16000-s18000,fir65-p16000-s18000,1000.0,0.00018606123926552417,7.245511177465876e-18,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir65-p16000-s18000,fir65-p16000-s18000,2000.0,-0.000999387514216315,9.732633173268257e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir65-p16000-s18000,fir65-p16000-s18000,4000.0,0.0017254629801614497,5.302789889838699e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir65-p16000-s18000,fir65-p16000-s18000,8000.0,0.002292698585575408,-4.585973395568184e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir65-p16000-s18000,fir65-p16000-s18000,12000.0,-0.0011015531754281797,9.577783777446156e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir65-p16000-s18000,fir65-p16000-s18000,16000.0,1.678185747862112,-1.622230183743509e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir65-p16000-s18000,fir65-p16000-s18000,18000.0,-20.33861224755023,2.530334226465052e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir65-p16000-s18000,fir65-p16000-s18000,20000.0,-5.026260174735348,3.141592653589723,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir129-p16000-s18000,fir129-p16000-s18000,1000.0,0.0025381597885736525,4.1398283068774906e-17,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir129-p16000-s18000,fir129-p16000-s18000,2000.0,0.0018421205663814366,2.1552039504386537e-15,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir129-p16000-s18000,fir129-p16000-s18000,4000.0,0.0013541056488016077,5.255631925232662e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir129-p16000-s18000,fir129-p16000-s18000,8000.0,0.002899313760476223,-8.528495972261769e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir129-p16000-s18000,fir129-p16000-s18000,12000.0,0.001970916158061151,2.1157815276187574e-15,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir129-p16000-s18000,fir129-p16000-s18000,16000.0,0.26634040599050546,-1.4424333868732913e-15,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir129-p16000-s18000,fir129-p16000-s18000,18000.0,-36.191172869297866,4.986506990431006e-14,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir129-p16000-s18000,fir129-p16000-s18000,20000.0,5.218881549541248,3.1415926535882863,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p16000-s19000,iir-p16000-s19000,1000.0,-1.350058453174603e-14,1.1995202619551872,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p16000-s19000,iir-p16000-s19000,2000.0,-1.9286549331065764e-14,2.4025538515349822,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p16000-s19000,iir-p16000-s19000,4000.0,-1.350058453174603e-14,-1.4497098866971565,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p16000-s19000,iir-p16000-s19000,8000.0,-3.4715788795918406e-14,-2.6639040201365405,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p16000-s19000,iir-p16000-s19000,12000.0,-2.2892103220079942e-08,2.923874237927355,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p16000-s19000,iir-p16000-s19000,16000.0,-2.6036841596938793e-14,-3.09074615397011,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p16000-s19000,iir-p16000-s19000,18000.0,6.396305986460602,-0.3065130073159151,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p16000-s19000,iir-p16000-s19000,20000.0,-17.500870475836184,0.8599089432843239,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir17-p16000-s19000,fir17-p16000-s19000,1000.0,-0.0007558147188841323,1.3553551328227779e-16,True,diagnostic; no cross-rate product/filter acceptance
