rate,conditioner,kernel,profile,source,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,reference_convergence,joint_pass
44100,raw-control,kaiser-g64,reference,A1,0.003474061567757656,0.001575985002760098,0.00272575074566011,True,1.3154131588992905e-06,True
44100,raw-control,kaiser-g64,reference,B1,0.0003960052175116034,0.0002999172812240252,0.0003616010344140212,True,1.9011799702968472e-07,True
44100,raw-control,kaiser-g64,reference,AB,0.003469536647095648,0.0015760166649349569,0.0027222541515350626,True,1.3117818550992164e-06,True
44100,raw-control,kaiser-g64,edge,A1,0.026324654277790425,0.007773712587208072,0.01936962841636921,True,9.43373590737657e-06,False
44100,raw-control,kaiser-g64,edge,B1,0.043470317301709714,0.00890657739298647,0.039707848189560295,True,2.067375221104483e-05,False
44100,raw-control,kaiser-g64,edge,AB,0.026324581462552638,0.007773726734088358,0.019369813891310372,True,9.432558146874356e-06,False
44100,raw-control,kaiser-g64,overlap-reference,A1,0.00043512665743371444,0.00025356639135633763,0.00034374044759978887,True,2.779791658770868e-07,True
44100,raw-control,kaiser-g64,overlap-reference,B1,0.0003960056060997333,0.0002999170535556947,0.00036160139265947787,True,1.901185998491341e-07,True
44100,raw-control,kaiser-g64,overlap-reference,AB,0.00043495806901970585,0.00025356479621501565,0.0003435670917899974,True,2.778584832692206e-07,True
44100,raw-control,kaiser-g64,sustained-edge,A1,0.017250693328453293,0.002771426445119458,0.013383058900968183,True,9.794512461887453e-06,False
44100,raw-control,kaiser-g64,sustained-edge,B1,0.04347031416664305,0.008906576785322478,0.039707845320998365,True,2.067375070599866e-05,False
44100,raw-control,kaiser-g64,sustained-edge,AB,0.017249784197289293,0.002771431587714242,0.01338226257873056,True,9.793826788208503e-06,False
44100,iir-p16000-s18000,kaiser-g16,reference,A1,4.4097374678103953e-05,3.866483130605155e-05,4.335127496498407e-05,True,4.180245097494205e-09,True
44100,iir-p16000-s18000,hann-g32,reference,A1,9.82004987237715e-06,8.142580591902127e-06,9.361796393352997e-06,True,4.180245097494205e-09,True
44100,iir-p16000-s18000,kaiser-g32,reference,A1,3.181051733654586e-05,2.4384565710863607e-05,3.1723268534153465e-05,True,4.180245097494205e-09,True
44100,iir-p16000-s18000,lagrange-g64,reference,A1,6.283754851202394e-08,7.732701256652167e-08,4.5663619233114464e-08,True,4.180245097494205e-09,True
44100,iir-p16000-s18000,hann-g64,reference,A1,1.2092187056538571e-06,1.0476953980422587e-06,1.1513507540375784e-06,True,4.180245097494205e-09,True
44100,iir-p16000-s18000,kaiser-g64,reference,A1,1.4661102097952572e-05,1.3864077233078873e-05,1.4638144500500334e-05,True,4.180245097494205e-09,True
44100,iir-p16000-s18000,kaiser-g16,reference,B1,5.8890960318531056e-05,5.620667994631415e-05,5.882601088169924e-05,True,2.0005265692315608e-10,True
44100,iir-p16000-s18000,hann-g32,reference,B1,4.282424289376265e-06,5.21688908051367e-06,4.279755485254364e-06,True,2.0005265692315608e-10,True
44100,iir-p16000-s18000,kaiser-g32,reference,B1,1.680872219648562e-05,1.992757901818874e-05,1.6774837270923236e-05,True,2.0005265692315608e-10,True
44100,iir-p16000-s18000,lagrange-g64,reference,B1,5.036995630351424e-09,1.1565021409228368e-08,4.338831242744093e-09,True,2.0005265692315608e-10,True
44100,iir-p16000-s18000,hann-g64,reference,B1,1.2258122604685168e-06,1.076384215622609e-06,1.225103675496663e-06,True,2.0005265692315608e-10,True
44100,iir-p16000-s18000,kaiser-g64,reference,B1,1.8884485885697444e-05,1.6020489247423576e-05,1.8879157946960568e-05,True,2.0005265692315608e-10,True
44100,iir-p16000-s18000,kaiser-g16,reference,AB,4.414203165363132e-05,3.866483130605155e-05,4.339934305296564e-05,True,4.180245052202589e-09,True
44100,iir-p16000-s18000,hann-g32,reference,AB,9.80976039787039e-06,8.14258059190004e-06,9.352226236192133e-06,True,4.180245052202589e-09,True
44100,iir-p16000-s18000,kaiser-g32,reference,AB,3.178085238731166e-05,2.4384565710863607e-05,3.169376329461551e-05,True,4.180245052202589e-09,True
44100,iir-p16000-s18000,lagrange-g64,reference,AB,6.275675819032128e-08,7.732701256652167e-08,4.5605048619144396e-08,True,4.180245052202589e-09,True
44100,iir-p16000-s18000,hann-g64,reference,AB,1.209261916397455e-06,1.0476953980361266e-06,1.1515449954994815e-06,True,4.180245052202589e-09,True
44100,iir-p16000-s18000,kaiser-g64,reference,AB,1.4673593315449392e-05,1.3864077233078873e-05,1.4650689132226536e-05,True,4.180245052202589e-09,True
44100,iir-p16000-s18000,kaiser-g16,edge,A1,3.960381378343223e-05,3.023938427272885e-05,3.44319489536749e-05,True,1.7867565207985587e-08,True
