rate,profile,native_max_error,duplicate_ab_counterexample_error,passed
44100,reference,3.469446951953614e-18,0.018090687692165375,True
44100,edge,6.938893903907228e-18,0.036065150052309036,True
44100,overlap-reference,5.551115123125783e-17,0.5203280448913575,True
44100,sustained-edge,6.938893903907228e-18,0.2135848104953766,True
48000,reference,4.336808689942018e-19,0.006633811630308628,True
48000,edge,3.469446951953614e-18,0.02619444765150547,True
48000,overlap-reference,1.1102230246251565e-16,0.6812931895256044,True
48000,sustained-edge,2.7755575615628914e-17,0.28820791840553284,True
96000,reference,8.673617379884035e-19,0.004003127105534077,True
96000,edge,1.734723475976807e-18,0.018431011587381363,True
96000,overlap-reference,1.3877787807814457e-17,0.060062520205974586,True
96000,sustained-edge,1.3877787807814457e-17,0.10164263099431993,True
