rate,conditioner,kernel,profile,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,reference_convergence,implementation_nrms,implementation_peak_error,native_numerical_pass
44100,iir-p16000-s18000,kaiser-g16,reference,4.414069406909916e-05,3.8661495267863126e-05,4.3397994924561904e-05,True,4.180245052202589e-09,3.1737660419479967e-09,5.7493004672539666e-09,True
44100,iir-p16000-s18000,kaiser-g16,edge,3.959763151572461e-05,3.02393839287911e-05,3.442471875916093e-05,True,1.7867566245827482e-08,1.644448721429176e-08,1.943440960369336e-08,True
44100,iir-p16000-s18000,kaiser-g16,overlap-reference,4.960839100119382e-05,5.4955861694039e-05,4.7808218970102955e-05,True,2.1197678068573537e-10,3.946104244473854e-10,5.942837797515745e-10,True
44100,iir-p16000-s18000,kaiser-g16,sustained-edge,5.3976416891096676e-05,4.8064617605543184e-05,5.1869726053621096e-05,True,1.0429468717130336e-08,1.3718876809319155e-08,6.404088064976297e-09,True
44100,fir129-p16000-s18000,kaiser-g16,reference,4.4179958089236485e-05,4.210650575772381e-05,4.3445805216545786e-05,True,4.573737476433941e-09,3.3403015714740415e-09,8.293128588092884e-09,True
44100,fir129-p16000-s18000,kaiser-g16,edge,4.589601874984717e-05,4.589823621574512e-05,4.0171497304999886e-05,True,2.4889292511844973e-08,1.7933623265780942e-08,2.5243098208445327e-08,True
44100,fir129-p16000-s18000,kaiser-g16,overlap-reference,4.968313305355998e-05,5.492525903840578e-05,4.789532158866016e-05,True,2.9043497617910557e-10,3.931334462272759e-10,6.893578371356623e-10,True
44100,fir129-p16000-s18000,kaiser-g16,sustained-edge,5.5210098654661915e-05,4.532551107462975e-05,5.284468822685752e-05,True,1.1843585490808639e-08,1.3991095639419218e-08,6.894104744743463e-09,True
44100,iir-p16000-s19000,kaiser-g16,reference,4.416065205481276e-05,4.069936753026602e-05,4.342187726348172e-05,True,4.8048341338035355e-09,3.0648845241357163e-09,6.495660608652852e-09,True
44100,iir-p16000-s19000,kaiser-g16,edge,4.4059260226025555e-05,3.292607637374208e-05,3.832044623465863e-05,True,2.255800228398248e-08,1.786401306598107e-08,1.9739073173593237e-08,True
44100,iir-p16000-s19000,kaiser-g16,overlap-reference,4.9643274511163365e-05,5.492563171182087e-05,4.78488649190014e-05,True,2.697912663470092e-10,3.862568702900728e-10,4.561513396587343e-10,True
44100,iir-p16000-s19000,kaiser-g16,sustained-edge,5.482829123660884e-05,4.8804111671215476e-05,5.254595245778585e-05,True,1.1391456526238092e-08,1.4070703358615504e-08,8.145814155801001e-09,True
44100,fir65-p16000-s19000,kaiser-g16,reference,4.418572171362314e-05,4.225310388963456e-05,4.3448952002529985e-05,True,5.111138334486703e-09,3.357543972667071e-09,8.342587877950306e-09,True
44100,fir65-p16000-s19000,kaiser-g16,edge,4.783861182918354e-05,5.035413286238287e-05,4.147053430465732e-05,True,3.4846612770746165e-08,1.893343562345752e-08,3.1083146183277874e-08,True
44100,fir65-p16000-s19000,kaiser-g16,overlap-reference,4.968308450434949e-05,5.499061643303963e-05,4.789525369548955e-05,True,3.316946778460255e-10,3.9654630763423883e-10,7.08388569952898e-10,True
44100,fir65-p16000-s19000,kaiser-g16,sustained-edge,5.5461511014098336e-05,4.585967510195903e-05,5.301045573116031e-05,True,1.2616522074795289e-08,1.4263047511422575e-08,7.861561960279299e-09,True
44100,fir129-p16000-s19000,kaiser-g16,reference,4.419621366688306e-05,4.223716625440304e-05,4.345560879358265e-05,True,5.11952479072186e-09,3.3668696728118027e-09,8.398335155480128e-09,True
44100,fir129-p16000-s19000,kaiser-g16,edge,4.8798672572576635e-05,5.009837216785973e-05,4.220608427188085e-05,True,3.387335218441191e-08,1.9250698744070965e-08,3.03016539535104e-08,True
44100,fir129-p16000-s19000,kaiser-g16,overlap-reference,4.96834015221142e-05,5.4989124349329e-05,4.7895543526948914e-05,True,3.3019587104373103e-10,3.9803764991320345e-10,7.086698870919662e-10,True
44100,fir129-p16000-s19000,kaiser-g16,sustained-edge,5.5754109616871896e-05,4.516771327113826e-05,5.3207365173862964e-05,True,1.3059578447604035e-08,1.4391216042367656e-08,7.905924847487525e-09,True
44100,iir-p16000-s20000,kaiser-g16,reference,4.418584890914627e-05,3.9689312525247366e-05,4.344511125010043e-05,True,4.88092391337851e-09,3.3796703297361457e-09,7.5005549839549e-09,True
44100,iir-p16000-s20000,kaiser-g16,edge,4.925856663697743e-05,3.3589555577386335e-05,4.246399950062408e-05,True,2.8077650696606744e-08,1.8427810881890616e-08,1.789600502854403e-08,True
44100,iir-p16000-s20000,kaiser-g16,overlap-reference,4.965876636984216e-05,5.495667452121826e-05,4.7866834588630666e-05,True,3.1972004768915414e-10,3.9885726276982033e-10,6.583086154273472e-10,True
44100,iir-p16000-s20000,kaiser-g16,sustained-edge,5.568861774186041e-05,4.876871238685823e-05,5.324614022624562e-05,True,1.2234396904330684e-08,1.4410110968723324e-08,9.425276658870513e-09,True
44100,fir65-p16000-s20000,kaiser-g16,reference,4.42059696553997e-05,4.218894426233552e-05,4.346272371108145e-05,True,5.749821076301715e-09,3.3797788463393392e-09,8.29941001475755e-09,True
44100,fir65-p16000-s20000,kaiser-g16,edge,5.183196675275606e-05,6.127092860781242e-05,4.4292277186019264e-05,True,4.346698692401008e-08,2.0119108392589442e-08,3.6118813536210625e-08,True
