rate,delay_ms,index,ideal_notch_hz,spacing_hz,ideal_magnitude
44100,0.03369272237196766,0,14839.999999999998,29679.999999999996,5.66553889764798e-16
44100,0.05,0,10000.0,20000.0,3.216245299353273e-16
44100,0.1,0,5000.0,10000.0,3.216245299353273e-16
44100,0.1,1,15000.0,10000.0,3.6739403974420594e-16
44100,0.25,0,2000.0,4000.0,1.2246467991473532e-16
44100,0.25,1,6000.0,4000.0,3.6739403974420594e-16
44100,0.25,2,10000.0,4000.0,6.123233995736766e-16
44100,0.25,3,14000.0,4000.0,8.572527594031472e-16
44100,0.25,4,18000.0,4000.0,2.450531559567883e-15
44100,0.5,0,1000.0,2000.0,1.2246467991473532e-16
44100,0.5,1,3000.0,2000.0,3.6739403974420594e-16
44100,0.5,2,5000.0,2000.0,6.123233995736766e-16
44100,0.5,3,7000.0,2000.0,8.572527594031472e-16
44100,0.5,4,9000.0,2000.0,2.450531559567883e-15
44100,0.5,5,11000.0,2000.0,4.899825157862589e-15
44100,0.5,6,13000.0,2000.0,1.9606728399089416e-15
44100,0.5,7,15000.0,2000.0,1.7157434800794711e-15
44100,0.5,8,17000.0,2000.0,1.4708141202500005e-15
44100,0.5,9,19000.0,2000.0,5.879542597180472e-15
44100,1.0,0,500.0,1000.0,1.2246467991473532e-16
44100,1.0,1,1500.0,1000.0,3.6739403974420594e-16
44100,1.0,2,2500.0,1000.0,6.123233995736766e-16
44100,1.0,3,3500.0,1000.0,8.572527594031472e-16
44100,1.0,4,4500.0,1000.0,2.450531559567883e-15
44100,1.0,5,5500.0,1000.0,4.899825157862589e-15
44100,1.0,6,6500.0,1000.0,1.9606728399089416e-15
44100,1.0,7,7500.0,1000.0,1.7157434800794711e-15
44100,1.0,8,8500.0,1000.0,1.4708141202500005e-15
44100,1.0,9,9500.0,1000.0,5.879542597180472e-15
44100,1.0,10,10500.0,1000.0,9.809554005910593e-16
44100,1.0,11,11500.0,1000.0,7.841453398362591e-15
44100,1.0,12,12500.0,1000.0,1.3719758034269886e-14
44100,1.0,13,13500.0,1000.0,6.859260036498355e-15
44100,1.0,14,14500.0,1000.0,1.2379612731767154e-18
44100,1.0,15,15500.0,1000.0,7.349118756157295e-15
44100,1.0,16,16500.0,1000.0,4.886207583857646e-16
44100,1.0,17,17500.0,1000.0,7.838977475816237e-15
44100,1.0,18,18500.0,1000.0,9.784794780447059e-16
44100,1.0,19,19500.0,1000.0,5.882018519726826e-15
44100,2.0,0,250.0,500.0,1.2246467991473532e-16
44100,2.0,1,750.0,500.0,3.6739403974420594e-16
44100,2.0,2,1250.0,500.0,6.123233995736766e-16
44100,2.0,3,1750.0,500.0,8.572527594031472e-16
44100,2.0,4,2250.0,500.0,2.450531559567883e-15
44100,2.0,5,2750.0,500.0,4.899825157862589e-15
44100,2.0,6,3250.0,500.0,1.9606728399089416e-15
44100,2.0,7,3750.0,500.0,1.7157434800794711e-15
44100,2.0,8,4250.0,500.0,1.4708141202500005e-15
44100,2.0,9,4750.0,500.0,5.879542597180472e-15
44100,2.0,10,5250.0,500.0,9.809554005910593e-16
44100,2.0,11,5750.0,500.0,7.841453398362591e-15
44100,2.0,12,6250.0,500.0,1.3719758034269886e-14
44100,2.0,13,6750.0,500.0,6.859260036498355e-15
44100,2.0,14,7250.0,500.0,1.2379612731767154e-18
44100,2.0,15,7750.0,500.0,7.349118756157295e-15
44100,2.0,16,8250.0,500.0,4.886207583857646e-16
44100,2.0,17,8750.0,500.0,7.838977475816237e-15
44100,2.0,18,9250.0,500.0,9.784794780447059e-16
44100,2.0,19,9750.0,500.0,5.882018519726826e-15
44100,2.0,20,10250.0,500.0,1.567919291290565e-14
44100,2.0,21,10750.0,500.0,8.81869491513412e-15
44100,2.0,22,11250.0,500.0,1.9581969173625882e-15
44100,2.0,23,11750.0,500.0,4.902301080408943e-15
44100,2.0,24,12250.0,500.0,1.6658910352223535e-14
44100,2.0,25,12750.0,500.0,1.8623297075952004e-14
44100,2.0,26,13250.0,500.0,2.937914356680471e-15
44100,2.0,27,13750.0,500.0,3.92258364109106e-15
44100,2.0,28,14250.0,500.0,1.7638627791541416e-14
44100,2.0,29,14750.0,500.0,1.7643579636634123e-14
44100,2.0,30,15250.0,500.0,3.917631795998353e-15
44100,2.0,31,15750.0,500.0,2.547884322863083e-14
44100,2.0,32,16250.0,500.0,9.803364199544709e-15
44100,2.0,33,16750.0,500.0,1.1757847233087767e-14
44100,2.0,34,17250.0,500.0,4.897349235316236e-15
44100,2.0,35,17750.0,500.0,2.6458560667948713e-14
44100,2.0,36,18250.0,500.0,8.823646760226826e-15
44100,2.0,37,18750.0,500.0,1.273756467240565e-14
44100,2.0,38,19250.0,500.0,5.877066674634119e-15
44100,2.0,39,19750.0,500.0,9.834313231374127e-16
44100,5.0,0,100.0,200.0,1.2246467991473532e-16
44100,5.0,1,300.0,200.0,3.6739403974420594e-16
44100,5.0,2,500.0,200.0,6.123233995736766e-16
44100,5.0,3,700.0,200.0,8.572527594031472e-16
44100,5.0,4,900.0,200.0,1.102182119232618e-15
44100,5.0,5,1100.0,200.0,2.2056021997384123e-15
44100,5.0,6,1300.0,200.0,5.14475451769206e-15
44100,5.0,7,1500.0,200.0,1.7157434800794711e-15
44100,5.0,8,1700.0,200.0,5.6346132373510016e-15
44100,5.0,9,1900.0,200.0,1.22588476042053e-15
44100,5.0,10,2100.0,200.0,9.809554005910593e-16
44100,5.0,11,2300.0,200.0,6.369401316839413e-15
44100,5.0,12,2500.0,200.0,4.91096680932118e-16
44100,5.0,13,2700.0,200.0,7.351594678703649e-15
44100,5.0,14,2900.0,200.0,1.2379612731767154e-18
44100,5.0,15,3100.0,200.0,6.861735959044708e-15
44100,5.0,16,3300.0,200.0,4.886207583857646e-16
44100,5.0,17,3500.0,200.0,7.838977475816237e-15
44100,5.0,18,3700.0,200.0,9.784794780447059e-16
44100,5.0,19,3900.0,200.0,5.882018519726826e-15
44100,5.0,20,4100.0,200.0,1.567919291290565e-14
44100,5.0,21,4300.0,200.0,8.81869491513412e-15
44100,5.0,22,4500.0,200.0,1.9581969173625882e-15
44100,5.0,23,4700.0,200.0,4.902301080408943e-15
44100,5.0,24,4900.0,200.0,1.1762799078180474e-14
44100,5.0,25,5100.0,200.0,9.798412354452001e-15
44100,5.0,26,5300.0,200.0,2.937914356680471e-15
44100,5.0,27,5500.0,200.0,2.4499125789312947e-14
44100,5.0,28,5700.0,200.0,1.7638627791541416e-14
44100,5.0,29,5900.0,200.0,1.0778129793769884e-14
44100,5.0,30,6100.0,200.0,3.917631795998353e-15
44100,5.0,31,6300.0,200.0,2.942866201773178e-15
44100,5.0,32,6500.0,200.0,9.803364199544709e-15
44100,5.0,33,6700.0,200.0,1.666386219731624e-14
44100,5.0,34,6900.0,200.0,4.897349235316236e-15
44100,5.0,35,7100.0,200.0,1.963148762455295e-15
44100,5.0,36,7300.0,200.0,8.823646760226826e-15
44100,5.0,37,7500.0,200.0,1.273756467240565e-14
44100,5.0,38,7700.0,200.0,5.877066674634119e-15
44100,5.0,39,7900.0,200.0,9.834313231374127e-16
44100,5.0,40,8100.0,200.0,2.0577780109495062e-14
44100,5.0,41,8300.0,200.0,1.4704427318680477e-14
44100,5.0,42,8500.0,200.0,6.856784113952001e-15
44100,5.0,43,8700.0,200.0,2.842542331422354e-14
44100,5.0,44,8900.0,200.0,6.8642118815910615e-15
44100,5.0,45,9100.0,200.0,1.4696999551041415e-14
44100,5.0,46,9300.0,200.0,3.625821098367389e-14
44100,5.0,47,9500.0,200.0,9.760035554983525e-16
44100,5.0,48,9700.0,200.0,2.2537214988130828e-14
44100,5.0,49,9900.0,200.0,1.274499244004471e-14
44100,5.0,50,10100.0,200.0,8.816218992587766e-15
44100,5.0,51,10300.0,200.0,2.646598843558777e-14
