rate,conditioner,kernel,profile,block,mean_us,p95_us,p99_us,max_us,state_bytes,observed_allocations,reset_partition_exact,measured_blocks,total_latency_samples,scope
44100,iir-p16000-s18000,kaiser-g16,reference,32,5.48,5.6,5.6,5.6,1088040,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s18000,kaiser-g16,reference,64,10.72,10.8,10.8,10.8,1088040,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s18000,kaiser-g16,reference,128,19.1,21.5,21.5,21.5,1088040,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s18000,kaiser-g16,reference,256,34.44,34.6,34.6,34.6,1088040,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s18000,kaiser-g16,reference,257,34.64,34.8,34.8,34.8,1088040,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s18000,kaiser-g16,reference,512,77.8,89.7,89.7,89.7,1088040,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s18000,kaiser-g16,reference,1024,169.78,200,200,200,1088040,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s18000,kaiser-g16,edge,32,9.66,9.7,9.7,9.7,1088040,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s18000,kaiser-g16,edge,64,18.94,19.3,19.3,19.3,1088040,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s18000,kaiser-g16,edge,128,18.64,20.4,20.4,20.4,1088040,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s18000,kaiser-g16,edge,256,36.18,40.4,40.4,40.4,1088040,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s18000,kaiser-g16,edge,257,36.34,40.2,40.2,40.2,1088040,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s18000,kaiser-g16,edge,512,84.02,93.1,93.1,93.1,1088040,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s18000,kaiser-g16,edge,1024,160.8,172.5,172.5,172.5,1088040,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s18000,kaiser-g16,overlap-reference,32,4.6464,5.1,5.4,29.4,1088040,0,true,500,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s18000,kaiser-g16,overlap-reference,64,9.549,11.4,12,40.4,1088040,0,true,500,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s18000,kaiser-g16,overlap-reference,128,19.4482,23.5,50.6,77,1088040,0,true,500,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s18000,kaiser-g16,overlap-reference,256,51.3068,69.7,90.9,106.6,1088040,0,true,500,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s18000,kaiser-g16,overlap-reference,257,38.3516,45.5,72.7,94.1,1088040,0,true,500,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s18000,kaiser-g16,overlap-reference,512,80.3072,107.1,117.6,204.9,1088040,0,true,500,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s18000,kaiser-g16,overlap-reference,1024,158.747,210.1,233.2,270.4,1088040,0,true,500,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s18000,kaiser-g16,sustained-edge,32,5.08,5.1,5.1,5.1,1088040,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s18000,kaiser-g16,sustained-edge,64,10.12,10.2,10.2,10.2,1088040,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s18000,kaiser-g16,sustained-edge,128,17.94,20.2,20.2,20.2,1088040,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s18000,kaiser-g16,sustained-edge,256,34.42,34.6,34.6,34.6,1088040,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s18000,kaiser-g16,sustained-edge,257,34.58,34.7,34.7,34.7,1088040,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s18000,kaiser-g16,sustained-edge,512,71.08,78.5,78.5,78.5,1088040,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s18000,kaiser-g16,sustained-edge,1024,142.66,152,152,152,1088040,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s18000,kaiser-g16,reference,32,14.7,34.4,34.4,34.4,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s18000,kaiser-g16,reference,64,17.32,17.4,17.4,17.4,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s18000,kaiser-g16,reference,128,41.78,70.7,70.7,70.7,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s18000,kaiser-g16,reference,256,69.24,69.4,69.4,69.4,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s18000,kaiser-g16,reference,257,69.66,70.5,70.5,70.5,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s18000,kaiser-g16,reference,512,147.5,170.4,170.4,170.4,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s18000,kaiser-g16,reference,1024,300.08,352.7,352.7,352.7,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s18000,kaiser-g16,edge,32,8.68,8.8,8.8,8.8,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s18000,kaiser-g16,edge,64,17.3,17.3,17.3,17.3,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s18000,kaiser-g16,edge,128,34.6,34.7,34.7,34.7,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s18000,kaiser-g16,edge,256,84.52,122.6,122.6,122.6,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s18000,kaiser-g16,edge,257,69.5,69.7,69.7,69.7,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s18000,kaiser-g16,edge,512,140.68,148,148,148,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s18000,kaiser-g16,edge,1024,286.4,298.4,298.4,298.4,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s18000,kaiser-g16,overlap-reference,32,9.165,9.8,15.7,32,1088192,0,true,500,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s18000,kaiser-g16,overlap-reference,64,18.081,19.2,30.6,38.3,1088192,0,true,500,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s18000,kaiser-g16,overlap-reference,128,37.4076,53.4,60.1,92.7,1088192,0,true,500,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s18000,kaiser-g16,overlap-reference,256,71.9706,82.4,102,116.4,1088192,0,true,500,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s18000,kaiser-g16,overlap-reference,257,72.221,83.9,92.9,106.1,1088192,0,true,500,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s18000,kaiser-g16,overlap-reference,512,154.14,260.7,278.1,296.2,1088192,0,true,500,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s18000,kaiser-g16,overlap-reference,1024,317.441,530,561,572.8,1088192,0,true,500,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s18000,kaiser-g16,sustained-edge,32,8.7,8.7,8.7,8.7,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s18000,kaiser-g16,sustained-edge,64,17.34,17.4,17.4,17.4,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s18000,kaiser-g16,sustained-edge,128,34.6,34.7,34.7,34.7,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s18000,kaiser-g16,sustained-edge,256,69.2,69.4,69.4,69.4,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s18000,kaiser-g16,sustained-edge,257,69.56,70,70,70,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s18000,kaiser-g16,sustained-edge,512,143.88,154.7,154.7,154.7,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s18000,kaiser-g16,sustained-edge,1024,287.9,305.7,305.7,305.7,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s19000,kaiser-g16,reference,32,8.44,8.5,8.5,8.5,1087640,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s19000,kaiser-g16,reference,64,21.68,42,42,42,1087640,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s19000,kaiser-g16,reference,128,23.44,33.4,33.4,33.4,1087640,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s19000,kaiser-g16,reference,256,36.22,58.5,58.5,58.5,1087640,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s19000,kaiser-g16,reference,257,30.86,31,31,31,1087640,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s19000,kaiser-g16,reference,512,70.78,84.1,84.1,84.1,1087640,0,true,5,16,candidate only; not complete A1+B1/plugin callback
