rate,conditioner,kernel,guard_samples,filter_latency_samples,total_latency_samples,minimum_passing_guard,acceptance
44100,iir-p16000-s18000,kaiser-g16,16,0,16,True,numerical fixture screen only; native/human review required
44100,iir-p16000-s18000,hann-g32,32,0,32,False,numerical fixture screen only; native/human review required
44100,iir-p16000-s18000,kaiser-g32,32,0,32,False,numerical fixture screen only; native/human review required
44100,iir-p16000-s18000,lagrange-g64,64,0,64,False,numerical fixture screen only; native/human review required
44100,iir-p16000-s18000,hann-g64,64,0,64,False,numerical fixture screen only; native/human review required
44100,iir-p16000-s18000,kaiser-g64,64,0,64,False,numerical fixture screen only; native/human review required
44100,fir129-p16000-s18000,kaiser-g16,16,64,80,True,numerical fixture screen only; native/human review required
44100,fir129-p16000-s18000,hann-g32,32,64,96,False,numerical fixture screen only; native/human review required
44100,fir129-p16000-s18000,kaiser-g32,32,64,96,False,numerical fixture screen only; native/human review required
44100,fir129-p16000-s18000,lagrange-g64,64,64,128,False,numerical fixture screen only; native/human review required
44100,fir129-p16000-s18000,hann-g64,64,64,128,False,numerical fixture screen only; native/human review required
44100,fir129-p16000-s18000,kaiser-g64,64,64,128,False,numerical fixture screen only; native/human review required
44100,iir-p16000-s19000,kaiser-g16,16,0,16,True,numerical fixture screen only; native/human review required
44100,iir-p16000-s19000,hann-g32,32,0,32,False,numerical fixture screen only; native/human review required
44100,iir-p16000-s19000,kaiser-g32,32,0,32,False,numerical fixture screen only; native/human review required
44100,iir-p16000-s19000,lagrange-g64,64,0,64,False,numerical fixture screen only; native/human review required
44100,iir-p16000-s19000,hann-g64,64,0,64,False,numerical fixture screen only; native/human review required
44100,iir-p16000-s19000,kaiser-g64,64,0,64,False,numerical fixture screen only; native/human review required
44100,fir65-p16000-s19000,kaiser-g16,16,32,48,True,numerical fixture screen only; native/human review required
44100,fir65-p16000-s19000,hann-g32,32,32,64,False,numerical fixture screen only; native/human review required
44100,fir65-p16000-s19000,kaiser-g32,32,32,64,False,numerical fixture screen only; native/human review required
44100,fir65-p16000-s19000,lagrange-g64,64,32,96,False,numerical fixture screen only; native/human review required
44100,fir65-p16000-s19000,hann-g64,64,32,96,False,numerical fixture screen only; native/human review required
44100,fir65-p16000-s19000,kaiser-g64,64,32,96,False,numerical fixture screen only; native/human review required
44100,fir129-p16000-s19000,kaiser-g16,16,64,80,True,numerical fixture screen only; native/human review required
44100,fir129-p16000-s19000,hann-g32,32,64,96,False,numerical fixture screen only; native/human review required
44100,fir129-p16000-s19000,kaiser-g32,32,64,96,False,numerical fixture screen only; native/human review required
44100,fir129-p16000-s19000,lagrange-g64,64,64,128,False,numerical fixture screen only; native/human review required
44100,fir129-p16000-s19000,hann-g64,64,64,128,False,numerical fixture screen only; native/human review required
44100,fir129-p16000-s19000,kaiser-g64,64,64,128,False,numerical fixture screen only; native/human review required
44100,iir-p16000-s20000,kaiser-g16,16,0,16,True,numerical fixture screen only; native/human review required
44100,iir-p16000-s20000,hann-g32,32,0,32,False,numerical fixture screen only; native/human review required
44100,iir-p16000-s20000,kaiser-g32,32,0,32,False,numerical fixture screen only; native/human review required
44100,iir-p16000-s20000,lagrange-g64,64,0,64,False,numerical fixture screen only; native/human review required
44100,iir-p16000-s20000,hann-g64,64,0,64,False,numerical fixture screen only; native/human review required
44100,iir-p16000-s20000,kaiser-g64,64,0,64,False,numerical fixture screen only; native/human review required
44100,fir65-p16000-s20000,kaiser-g16,16,32,48,True,numerical fixture screen only; native/human review required
