rate,block,profile,mean_us,p95_us,p99_us,worst_us,deadline_us,output_sum
44100,32,linear-kernel,0.0533,0.1,0.1,0.2,725.624,3.06448
44100,32,lagrange3-kernel,0.1226,0.2,0.2,0.2,725.624,3.06527
44100,32,D1,0.3816,0.4,0.4,0.4,725.624,3.19373
44100,32,A1+B1+D1,3.7649,3.9,7,153.7,725.624,0.02039
44100,128,linear-kernel,0.1452,0.2,0.2,0.6,2902.49,1.12727
44100,128,lagrange3-kernel,0.5824,0.6,0.8,24,2902.49,1.12395
44100,128,D1,1.4986,1.6,1.6,2.6,2902.49,1.1723
44100,128,A1+B1+D1,18.5375,28.1,30.7,61.8,2902.49,0.189666
44100,1024,linear-kernel,1.2377,1.4,1.5,2.6,23220,4.34879
44100,1024,lagrange3-kernel,3.9566,4.1,4.1,15.6,23220,4.35232
44100,1024,D1,14.1688,16.5,18.6,24.9,23220,4.45766
44100,1024,A1+B1+D1,148.19,223.7,261.5,381.9,23220,-2.15235
48000,32,linear-kernel,0.0623,0.1,0.1,0.1,666.667,3.06448
48000,32,lagrange3-kernel,0.1454,0.2,0.2,0.2,666.667,3.06527
48000,32,D1,0.5636,0.5,0.5,45.4,666.667,3.21019
48000,32,A1+B1+D1,3.7249,3.9,4,4.8,666.667,0.118268
48000,128,linear-kernel,0.2056,0.3,0.3,21.5,2666.67,1.12727
48000,128,lagrange3-kernel,0.5381,0.6,0.7,22.6,2666.67,1.12395
48000,128,D1,1.737,1.9,1.9,25.4,2666.67,1.19414
48000,128,A1+B1+D1,16.3964,17.2,37.3,62.1,2666.67,-0.0305327
48000,1024,linear-kernel,1.2134,1.4,1.5,2.5,21333.3,4.34879
48000,1024,lagrange3-kernel,4.0757,4.5,5.3,29.5,21333.3,4.35232
48000,1024,D1,14.7257,15.3,20.3,49.9,21333.3,4.46037
48000,1024,A1+B1+D1,125.087,138.3,170.4,441.7,21333.3,0.771873
96000,32,linear-kernel,0.0544,0.1,0.1,0.1,333.333,3.06448
96000,32,lagrange3-kernel,0.1268,0.2,0.2,0.2,333.333,3.06527
96000,32,D1,0.3935,0.4,0.4,0.4,333.333,3.0174
96000,32,A1+B1+D1,3.8881,3.9,6.4,175.8,333.333,0.115542
96000,128,linear-kernel,0.1431,0.2,0.2,2.1,1333.33,1.12727
96000,128,lagrange3-kernel,0.4435,0.5,0.5,0.5,1333.33,1.12395
96000,128,D1,1.8968,2,2.1,4.3,1333.33,1.15116
96000,128,A1+B1+D1,15.3085,23.6,35.7,80.1,1333.33,0.102454
96000,1024,linear-kernel,1.3472,1.4,1.5,32.9,10666.7,4.34879
96000,1024,lagrange3-kernel,4.6625,5.7,5.8,29,10666.7,4.35232
96000,1024,D1,14.0829,14.2,20.2,217.3,10666.7,4.25423
96000,1024,A1+B1+D1,132.543,154.2,182.6,476.8,10666.7,-1.71596
