candidate,fixture,rate,reference_rate,common_time_error_difference_rms,scope
lagrange3,sine4000,44100,96000,0.0014079921023841722,"identical physical times on all sample lattices, 1/300 s grid"
lagrange3,sine4000,48000,96000,0.0009902303552241968,"identical physical times on all sample lattices, 1/300 s grid"
lagrange3,sine8000,44100,96000,0.02047794621356798,"identical physical times on all sample lattices, 1/300 s grid"
lagrange3,sine8000,48000,96000,0.01463709540232653,"identical physical times on all sample lattices, 1/300 s grid"
lagrange3,sine12000,44100,96000,0.0971190618699095,"identical physical times on all sample lattices, 1/300 s grid"
lagrange3,sine12000,48000,96000,0.07803608385577296,"identical physical times on all sample lattices, 1/300 s grid"
lagrange3,sine16000,44100,96000,0.22512577682142834,"identical physical times on all sample lattices, 1/300 s grid"
lagrange3,sine16000,48000,96000,0.1717129369250117,"identical physical times on all sample lattices, 1/300 s grid"
lagrange7,sine4000,44100,96000,4.187666532241517e-05,"identical physical times on all sample lattices, 1/300 s grid"
lagrange7,sine4000,48000,96000,1.9584102834885658e-05,"identical physical times on all sample lattices, 1/300 s grid"
lagrange7,sine8000,44100,96000,0.008175811018242466,"identical physical times on all sample lattices, 1/300 s grid"
lagrange7,sine8000,48000,96000,0.003988990161151771,"identical physical times on all sample lattices, 1/300 s grid"
lagrange7,sine12000,44100,96000,0.145276187808231,"identical physical times on all sample lattices, 1/300 s grid"
lagrange7,sine12000,48000,96000,0.09483229392398153,"identical physical times on all sample lattices, 1/300 s grid"
lagrange7,sine16000,44100,96000,0.6667758139827584,"identical physical times on all sample lattices, 1/300 s grid"
lagrange7,sine16000,48000,96000,0.39547430071614986,"identical physical times on all sample lattices, 1/300 s grid"
lagrange15,sine4000,44100,96000,1.3936807886510289e-07,"identical physical times on all sample lattices, 1/300 s grid"
lagrange15,sine4000,48000,96000,3.26483583331131e-08,"identical physical times on all sample lattices, 1/300 s grid"
lagrange15,sine8000,44100,96000,0.004895336310103833,"identical physical times on all sample lattices, 1/300 s grid"
lagrange15,sine8000,48000,96000,0.001267318804185248,"identical physical times on all sample lattices, 1/300 s grid"
lagrange15,sine12000,44100,96000,0.7292821844674233,"identical physical times on all sample lattices, 1/300 s grid"
lagrange15,sine12000,48000,96000,0.4770770064234002,"identical physical times on all sample lattices, 1/300 s grid"
lagrange15,sine16000,44100,96000,22.951661150622456,"identical physical times on all sample lattices, 1/300 s grid"
lagrange15,sine16000,48000,96000,9.228700233343888,"identical physical times on all sample lattices, 1/300 s grid"
farrow7-fir32,sine4000,44100,96000,0.02152489015609852,"identical physical times on all sample lattices, 1/300 s grid"
farrow7-fir32,sine4000,48000,96000,0.022140730830399125,"identical physical times on all sample lattices, 1/300 s grid"
farrow7-fir32,sine8000,44100,96000,0.023212446752601028,"identical physical times on all sample lattices, 1/300 s grid"
farrow7-fir32,sine8000,48000,96000,0.017839916460176897,"identical physical times on all sample lattices, 1/300 s grid"
farrow7-fir32,sine12000,44100,96000,0.02572558248977549,"identical physical times on all sample lattices, 1/300 s grid"
farrow7-fir32,sine12000,48000,96000,0.01916041864075143,"identical physical times on all sample lattices, 1/300 s grid"
farrow7-fir32,sine16000,44100,96000,0.035641616700076234,"identical physical times on all sample lattices, 1/300 s grid"
farrow7-fir32,sine16000,48000,96000,0.036800741005006014,"identical physical times on all sample lattices, 1/300 s grid"
vfd-ls32,sine4000,44100,96000,0.021524757637626343,"identical physical times on all sample lattices, 1/300 s grid"
vfd-ls32,sine4000,48000,96000,0.022140608982127337,"identical physical times on all sample lattices, 1/300 s grid"
vfd-ls32,sine8000,44100,96000,0.023212350267863217,"identical physical times on all sample lattices, 1/300 s grid"
vfd-ls32,sine8000,48000,96000,0.01783983607527174,"identical physical times on all sample lattices, 1/300 s grid"
vfd-ls32,sine12000,44100,96000,0.02572595469423968,"identical physical times on all sample lattices, 1/300 s grid"
vfd-ls32,sine12000,48000,96000,0.01916063746129216,"identical physical times on all sample lattices, 1/300 s grid"
vfd-ls32,sine16000,44100,96000,0.03564208474042499,"identical physical times on all sample lattices, 1/300 s grid"
vfd-ls32,sine16000,48000,96000,0.03680117621621315,"identical physical times on all sample lattices, 1/300 s grid"
vfd-ls64,sine4000,44100,96000,0.009255632176121706,"identical physical times on all sample lattices, 1/300 s grid"
vfd-ls64,sine4000,48000,96000,0.00797521637053372,"identical physical times on all sample lattices, 1/300 s grid"
vfd-ls64,sine8000,44100,96000,0.009520041902998483,"identical physical times on all sample lattices, 1/300 s grid"
vfd-ls64,sine8000,48000,96000,0.011064690178974906,"identical physical times on all sample lattices, 1/300 s grid"
vfd-ls64,sine12000,44100,96000,0.010172920069672261,"identical physical times on all sample lattices, 1/300 s grid"
vfd-ls64,sine12000,48000,96000,0.008058616457484041,"identical physical times on all sample lattices, 1/300 s grid"
vfd-ls64,sine16000,44100,96000,0.014303330309069703,"identical physical times on all sample lattices, 1/300 s grid"
vfd-ls64,sine16000,48000,96000,0.014944014816811627,"identical physical times on all sample lattices, 1/300 s grid"
sinc129-noncausal-control,sine4000,44100,96000,4.7497495527480025e-07,"identical physical times on all sample lattices, 1/300 s grid"
sinc129-noncausal-control,sine4000,48000,96000,3.394390350923311e-07,"identical physical times on all sample lattices, 1/300 s grid"
sinc129-noncausal-control,sine8000,44100,96000,5.445208711940688e-07,"identical physical times on all sample lattices, 1/300 s grid"
sinc129-noncausal-control,sine8000,48000,96000,3.8845406979087313e-07,"identical physical times on all sample lattices, 1/300 s grid"
sinc129-noncausal-control,sine12000,44100,96000,1.6111141105150664e-06,"identical physical times on all sample lattices, 1/300 s grid"
sinc129-noncausal-control,sine12000,48000,96000,6.19745953911808e-07,"identical physical times on all sample lattices, 1/300 s grid"
sinc129-noncausal-control,sine16000,44100,96000,1.3692535909498341e-06,"identical physical times on all sample lattices, 1/300 s grid"
sinc129-noncausal-control,sine16000,48000,96000,2.369756720999842e-06,"identical physical times on all sample lattices, 1/300 s grid"
